Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,total_causes,1.620423776723097,1.2068019799092007,1.5820960808244338,1.65875147262176,-,Total number of causes supported,Average number of causes supported,CA (without QC),
All,NA,2018,total_causes,1.6075538888671463,1.1173678413602017,1.572348447021285,1.6427593307130077,-,Total number of causes supported,Average number of causes supported,CA,
All,NA,2018,total_causes,1.5697131142572602,3.3265446851999982,1.4673692668606138,1.6720569616539067,1412,Total number of causes supported,Average number of causes supported,AB,
All,NA,2018,total_causes,1.9376920067063923,1.714356897898995,1.8725840482114557,2.002799965201329,4048,Total number of causes supported,Average number of causes supported,AT,
All,NA,2018,total_causes,1.448730564342609,2.8784091621870536,1.3669992953345476,1.5304618333506703,2177,Total number of causes supported,Average number of causes supported,BC,
All,NA,2018,total_causes,1.6224845570313309,1.7769413986844391,1.5659776198075854,1.6789914942550763,4346,Total number of causes supported,Average number of causes supported,ON,
All,NA,2018,total_causes,1.7295529927109599,2.457934559601975,1.6462324135347215,1.8128735718871982,2153,Total number of causes supported,Average number of causes supported,PR,
All,NA,2018,total_causes,1.564221242484956,2.5214670249531155,1.486917670242261,1.6415248147276509,2013,Total number of causes supported,Average number of causes supported,QC,
Age group,15 to 24 years,2018,total_causes,1.8453846485282046,4.0941684778341845,1.6973031827232166,1.9934661143331927,406,Total number of causes supported,Average number of causes supported,CA,NA
Age group,25 to 34 years,2018,total_causes,2.1226833534730885,2.349093848518039,2.02495205414494,2.220414652801237,1293,Total number of causes supported,Average number of causes supported,CA,NA
Age group,35 to 44 years,2018,total_causes,2.406387314083933,1.6816836577672731,2.3270718400322354,2.485702788135631,1870,Total number of causes supported,Average number of causes supported,CA,NA
Age group,45 to 54 years,2018,total_causes,2.4574717375381248,1.732465674360218,2.37402655644358,2.5409169186326697,1954,Total number of causes supported,Average number of causes supported,CA,NA
Age group,55 to 64 years,2018,total_causes,2.518967634216123,1.600166557068081,2.4399660376901267,2.5979692307421196,2701,Total number of causes supported,Average number of causes supported,CA,NA
Age group,65 to 74 years,2018,total_causes,2.6239187853469623,1.6868984988998952,2.5371652001530953,2.7106723705408293,2439,Total number of causes supported,Average number of causes supported,CA,NA
Age group,75 years and over,2018,total_causes,2.5051909871462037,1.9386486269317147,2.410001708981988,2.6003802653104193,1491,Total number of causes supported,Average number of causes supported,CA,NA
Gender,Male gender,2018,total_causes,2.3073988179413765,1.2081435781023113,2.2527615082784838,2.362036127604269,5149,Total number of causes supported,Average number of causes supported,CA,NA
Gender,Female gender,2018,total_causes,2.428579222995872,0.9771477690690313,2.382067694584573,2.475090751407171,7005,Total number of causes supported,Average number of causes supported,CA,NA
Education,Less than High School,2018,total_causes,2.0776265540057697,2.9052778560301773,1.9593215124877326,2.195931595523807,964,Total number of causes supported,Average number of causes supported,CA,NA
Education,Graduated from High school,2018,total_causes,2.2242955201032437,1.792428891237212,2.146153881564076,2.3024371586424115,2438,Total number of causes supported,Average number of causes supported,CA,NA
Education,Post-secondary diploma,2018,total_causes,2.3700057456110306,1.2201091268807525,2.3133301404945064,2.426681350727555,3885,Total number of causes supported,Average number of causes supported,CA,NA
Education,University Diploma,2018,total_causes,2.5682474335579504,1.2903923946095452,2.5032933067947267,2.633201560321174,3767,Total number of causes supported,Average number of causes supported,CA,NA
Marital status,Married,2018,total_causes,2.5200139172096354,0.9880422664238238,2.471213160812748,2.5688146736065227,6463,Total number of causes supported,Average number of causes supported,CA,NA
Marital status,Living common-law,2018,total_causes,2.2392476116954274,2.3898493586283798,2.1343608354650088,2.344134387925846,1102,Total number of causes supported,Average number of causes supported,CA,NA
Marital status,Widowed,2018,total_causes,2.490297120654538,2.4242240797000116,2.3719733453098617,2.608620895999214,1143,Total number of causes supported,Average number of causes supported,CA,NA
Marital status,Separated,2018,total_causes,2.2285847761537267,3.793386938952064,2.0628916869677747,2.394277865339679,375,Total number of causes supported,Average number of causes supported,CA,NA
Marital status,Divorced,2018,total_causes,2.4709353476617664,2.586852488381934,2.345655522796746,2.5962151725267866,1031,Total number of causes supported,Average number of causes supported,CA,NA
Marital status,"Single, never married",2018,total_causes,2.04506211359713,2.0987060212179207,1.96094076961218,2.1291834575820805,2040,Total number of causes supported,Average number of causes supported,CA,NA
Labour force status,Employed,2018,total_causes,2.3552984580902474,1.043632244586303,2.30712126121066,2.4034756549698346,6433,Total number of causes supported,Average number of causes supported,CA,NA
Labour force status,Unemployed,2018,total_causes,2.1718613313150366,6.803060856209794,1.8822706784685954,2.461451984161478,220,Total number of causes supported,Average number of causes supported,CA,NA
Labour force status,Not in labour force,2018,total_causes,2.4128049267771052,1.1842133235739332,2.3568033513052096,2.468806502249001,4423,Total number of causes supported,Average number of causes supported,CA,NA
Labour force status,Unable to determine,2018,total_causes,2.4201264032813703,2.4004914967422932,2.30626243569542,2.5339903708673206,1078,Total number of causes supported,Average number of causes supported,CA,NA
