Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,ng_020,0.6523537291423883,1.33849164216379,0.6352399113404322,0.6694675469443444,-,Happy with what already given,Barriers to giving,CA (without QC),
All,NA,2018,ng_030,0.6995598453019382,1.1996176261198535,0.6831117428546165,0.7160079477492598,-,Could not afford to give more,Barriers to giving,CA (without QC),
All,NA,2018,ng_040,0.2637980685358637,2.9736095654684944,0.2484234748377951,0.2791726622339323,-,No one asked,Barriers to giving,CA (without QC),
All,NA,2018,ng_050,0.10519187353018619,5.526956727343221,0.09379682063264262,0.11658692642772976,-,Unsure where to give,Barriers to giving,CA (without QC),
All,NA,2018,ng_060,0.11385954888399587,6.1107295024372705,0.10022280733873358,0.12749629042925817,-,Hard to find a cause,Barriers to giving,CA (without QC),
All,NA,2018,ng_070,0.2710339835310083,2.920098048607269,0.25552193076811874,0.2865460362938979,-,Gave time instead,Barriers to giving,CA (without QC),
All,NA,2018,ng_080,0.35600055966895733,2.3793656577836315,0.3393985768256636,0.37260254251225106,-,Gave directly instead,Barriers to giving,CA (without QC),
All,NA,2018,ng_090,0.16707417082475604,4.280797807484082,0.15305629782577992,0.18109204382373215,-,Tax credit was not enough,Barriers to giving,CA (without QC),
All,NA,2018,ng_110,0.23727227126490325,3.200094061545891,0.22239039043759196,0.25215415209221453,-,Money would not be used efficiently,Barriers to giving,CA (without QC),
All,NA,2018,ng_130,0.24444310865924435,3.0860539047714965,0.22965783399167036,0.25922838332681836,-,Did not like the way requests were made,Barriers to giving,CA (without QC),
All,NA,2018,ng_150,1.3685300403168936,0.6179390338110097,1.3519552495234073,1.38510483111038,-,Too many organizations,Barriers to giving,CA (without QC),
All,NA,2018,ng_160,1.2562372257033478,0.6454922893106675,1.2403440454719945,1.2721304059347012,-,Concerned about charity fraud,Barriers to giving,CA (without QC),
All,NA,2018,ng_020,0.6683218533326238,1.1906029570981513,0.6527263028023161,0.6839174038629315,-,Happy with what already given,Barriers to giving,CA,
All,NA,2018,ng_030,0.6748482279077096,1.1697927009516467,0.6593756346128375,0.6903208212025816,-,Could not afford to give more,Barriers to giving,CA,
All,NA,2018,ng_040,0.2493866150947559,2.8681900202320603,0.23536722397744433,0.2634060062120675,-,No one asked,Barriers to giving,CA,
All,NA,2018,ng_050,0.11084793359235547,5.105039396824827,0.09975682926405148,0.12193903792065945,-,Unsure where to give,Barriers to giving,CA,
All,NA,2018,ng_060,0.10957902570653709,5.505773079403742,0.09775422489789362,0.12140382651518056,-,Hard to find a cause,Barriers to giving,CA,
All,NA,2018,ng_070,0.26499169800958683,2.779887203830444,0.25055368152020724,0.2794297144989664,-,Gave time instead,Barriers to giving,CA,
All,NA,2018,ng_080,0.3691950052728004,2.0968070835076213,0.35402232231540126,0.38436768823019957,-,Gave directly instead,Barriers to giving,CA,
All,NA,2018,ng_090,0.16743131576787837,3.855567007739847,0.15477891218314824,0.1800837193526085,-,Tax credit was not enough,Barriers to giving,CA,
All,NA,2018,ng_110,0.22866557204243196,2.905011052494114,0.21564600140797394,0.24168514267688998,-,Money would not be used efficiently,Barriers to giving,CA,
All,NA,2018,ng_130,0.21536893786252698,2.9518284992719934,0.20290881631903684,0.2278290594060171,-,Did not like the way requests were made,Barriers to giving,CA,
All,NA,2018,ng_150,1.3713116311924494,0.576580121450753,1.3558147638298048,1.386808498555094,-,Too many organizations,Barriers to giving,CA,
All,NA,2018,ng_160,1.2586916769074326,0.6026531558154525,1.2438242816831053,1.2735590721317598,-,Concerned about charity fraud,Barriers to giving,CA,
All,NA,2018,ng_020,0.6382096614416465,3.5359169855779444,0.5939800090946932,0.6824393137885998,926,Happy with what already given,Barriers to giving,AB,
All,NA,2018,ng_020,0.7447061221513678,1.5248641539597931,0.7224492479844694,0.7669629963182661,2923,Happy with what already given,Barriers to giving,AT,
All,NA,2018,ng_020,0.6365912546105484,2.863033495639382,0.6008693021562397,0.6723132070648572,1399,Happy with what already given,Barriers to giving,BC,
All,NA,2018,ng_020,0.6979032807849285,1.74506872559066,0.6740330913131375,0.7217734702567195,3025,Happy with what already given,Barriers to giving,ON,
All,NA,2018,ng_020,0.6683327713983759,2.4915872656319067,0.6356952664517632,0.7009702763449885,1456,Happy with what already given,Barriers to giving,PR,
All,NA,2018,ng_020,0.720752881882297,2.356251906011057,0.6874672966306928,0.7540384671339012,1387,Happy with what already given,Barriers to giving,QC,
All,NA,2018,ng_030,0.6812434786811574,2.931256148478089,0.6421049748178688,0.7203819825444461,751,Could not afford to give more,Barriers to giving,AB,
All,NA,2018,ng_030,0.6985961521565767,1.7718825853245423,0.6743351229857257,0.7228571813274276,2577,Could not afford to give more,Barriers to giving,AT,
All,NA,2018,ng_030,0.7021581723956914,2.80315802409593,0.6635809790970408,0.7407353656943421,1160,Could not afford to give more,Barriers to giving,BC,
All,NA,2018,ng_030,0.7116800511446264,1.7173146797828984,0.6877257907747397,0.7356343115145131,2522,Could not afford to give more,Barriers to giving,ON,
All,NA,2018,ng_030,0.6879357604069535,2.423579789254002,0.6552579236584494,0.7206135971554576,1208,Could not afford to give more,Barriers to giving,PR,
All,NA,2018,ng_030,0.6148725949594018,2.808651998333638,0.5810247393390757,0.6487204505797279,1301,Could not afford to give more,Barriers to giving,QC,
All,NA,2018,ng_040,0.24346355249533136,8.916294207440876,0.20091679812468619,0.2860103068659765,736,No one asked,Barriers to giving,AB,
All,NA,2018,ng_040,0.26920479368761313,4.585877677363269,0.24500824933434415,0.29340133804088214,2537,No one asked,Barriers to giving,AT,
All,NA,2018,ng_040,0.28310513727308273,6.48443136948738,0.24712459210945903,0.31908568243670643,1140,No one asked,Barriers to giving,BC,
All,NA,2018,ng_040,0.26211681692450767,4.68949204377363,0.23802504296551016,0.2862085908835052,2466,No one asked,Barriers to giving,ON,
All,NA,2018,ng_040,0.30142473359294286,5.504437075680698,0.2689055309612257,0.33394393622466,1192,No one asked,Barriers to giving,PR,
All,NA,2018,ng_040,0.2025373716814204,8.082533727578706,0.17045246456083124,0.23462227880200953,1270,No one asked,Barriers to giving,QC,
All,NA,2018,ng_050,0.11760040403557746,15.855407095000484,0.08105487088246084,0.15414593718869407,736,Unsure where to give,Barriers to giving,AB,
All,NA,2018,ng_050,0.11946360840147914,7.354901957330734,0.10224251955451082,0.13668469724844745,2529,Unsure where to give,Barriers to giving,AT,
All,NA,2018,ng_050,0.11295743882210528,12.992947944963651,0.08419202499985155,0.14172285264435902,1135,Unsure where to give,Barriers to giving,BC,
All,NA,2018,ng_050,0.09716903919660419,8.81173059035165,0.08038729062641234,0.11395078776679604,2451,Unsure where to give,Barriers to giving,ON,
All,NA,2018,ng_050,0.11868801879993782,10.152495775963825,0.09507085243221833,0.1423051851676573,1188,Unsure where to give,Barriers to giving,PR,
All,NA,2018,ng_050,0.12564673979124846,10.385938335837487,0.10007000766354932,0.1512234719189476,1266,Unsure where to give,Barriers to giving,QC,
All,NA,2018,ng_060,0.12268174153989889,16.422742489917656,0.08319296243813706,0.1621705206416607,736,Hard to find a cause,Barriers to giving,AB,
All,NA,2018,ng_060,0.09513483370455261,9.156508748665752,0.07806152986875751,0.11220813754034771,2530,Hard to find a cause,Barriers to giving,AT,
All,NA,2018,ng_060,0.13232980462352756,11.677209985935962,0.10204359999652955,0.16261600925052558,1142,Hard to find a cause,Barriers to giving,BC,
