Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,nv_020,0.3763996509389453,2.5630595849405666,0.3574911976236927,0.3953081042541979,-,Gave enough time already,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_030,0.059044461214151946,8.912415403405396,0.048730566931890956,0.06935835549641294,-,Dissatisfied with previous experience,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_040,0.25293096796409054,3.596930597568603,0.23509970292403432,0.27076223300414676,-,No one asked,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_050,0.14607244997653948,5.646078646023455,0.12990791081373448,0.16223698913934448,-,Unsure how to get more involved,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_060,0.16843483437519155,4.305187109993681,0.15422228337356086,0.18264738537682224,-,Health probelms/physically unable,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_070,0.7392390280354949,1.1941153337583428,0.7219377074468426,0.7565403486241472,-,Did not have the time,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_080,0.10957654252128113,6.7899170599324155,0.09499410402743463,0.12415898101512762,-,Financial cost of volunteering,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_090,0.4336910306071324,2.2896474308214185,0.4142285969820907,0.45315346423217406,-,Unable to make commitment,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_100,0.19204577076637167,3.896572018355587,0.17737896481573434,0.206712576717009,-,Preferred to give money instead,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_110,0.20873836133748247,3.787432905469368,0.19324322831749854,0.2242334943574664,-,No interest,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_120,0.1887071283649276,4.372149018404806,0.17253633406601226,0.20487792266384292,-,No opportunity to use skills or experiences,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_130,0.16967636955010773,4.3392412471539465,0.1552458073721311,0.18410693172808437,-,Not asked to contribute in a way that was meaningful,Barriers to volunteering more,CA (without QC),
All,NA,2018,nv_020,0.39593263175743193,2.2563994142302652,0.37842266320903184,0.413442600305832,-,Gave enough time already,Barriers to volunteering more,CA,
All,NA,2018,nv_030,0.056519119433068005,8.077454618729831,0.047571283657372336,0.06546695520876368,-,Dissatisfied with previous experience,Barriers to volunteering more,CA,
All,NA,2018,nv_040,0.25083254399832566,3.275463381613026,0.23472962076820234,0.26693546722844896,-,No one asked,Barriers to volunteering more,CA,
All,NA,2018,nv_050,0.14193743354637395,5.594038795554135,0.12637525071831385,0.15749961637443405,-,Unsure how to get more involved,Barriers to volunteering more,CA,
All,NA,2018,nv_060,0.16324538856678744,3.89149587828053,0.15079434972933534,0.17569642740423955,-,Health probelms/physically unable,Barriers to volunteering more,CA,
All,NA,2018,nv_070,0.7341388378749878,1.1629304513385887,0.7174055981203722,0.7508720776296034,-,Did not have the time,Barriers to volunteering more,CA,
All,NA,2018,nv_080,0.10414190065833138,6.1636756061760085,0.09156095274414584,0.11672284857251693,-,Financial cost of volunteering,Barriers to volunteering more,CA,
All,NA,2018,nv_090,0.42604955815719453,2.1135889798068805,0.408400206915061,0.44369890939932805,-,Unable to make commitment,Barriers to volunteering more,CA,
