Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,fg1fgiv,0.677600372815287,0.870703227025608,0.6660368042100953,0.6891639414204787,-,Donor flag,Donation rate,CA,
All,NA,2018,fg1fgiv,0.6745911328054341,0.9814453797558513,0.6616147139844399,0.6875675516264284,-,Donor flag,Donation rate,CA (without QC),
All,NA,2018,fg1fgiv,0.6665673860378788,2.7230555093324162,0.6309920798938113,0.7021426921819462,1412,Donor flag,Donation rate,AB,
All,NA,2018,fg1fgiv,0.7320364871328026,1.39123090755271,0.7120755909131276,0.7519973833524776,4048,Donor flag,Donation rate,AT,
All,NA,2018,fg1fgiv,0.6312157795774953,2.326183569664828,0.6024371624038761,0.6599943967511145,2177,Donor flag,Donation rate,BC,
All,NA,2018,fg1fgiv,0.6796901533601089,1.4545116590718214,0.660313611263835,0.6990666954563827,4346,Donor flag,Donation rate,ON,
All,NA,2018,fg1fgiv,0.6892635041059835,1.8815271822706778,0.6638453580120034,0.7146816501999635,2153,Donor flag,Donation rate,PR,
All,NA,2018,fg1fgiv,0.6877324217255502,1.8987966247504935,0.6621379576168389,0.7133268858342614,2013,Donor flag,Donation rate,QC,
Age group,15 to 24 years,2018,fg1fgiv,0.4343682097588661,5.832604990753162,0.38471255772383534,0.48402386179389684,757,Donor flag,Donation rate,CA (without QC),NA
Age group,25 to 34 years,2018,fg1fgiv,0.6772656253135049,2.269435618727219,0.6471407684998397,0.70739048212717,1624,Donor flag,Donation rate,CA (without QC),NA
Age group,35 to 44 years,2018,fg1fgiv,0.700856222550435,2.1518446021657827,0.671297345595683,0.730415099505187,2171,Donor flag,Donation rate,CA (without QC),NA
Age group,45 to 54 years,2018,fg1fgiv,0.686969488631044,2.3759279335032963,0.6549791525207206,0.7189598247413674,2315,Donor flag,Donation rate,CA (without QC),NA
Age group,55 to 64 years,2018,fg1fgiv,0.730574515631263,1.764130820421824,0.7053139310240211,0.7558351002385049,3038,Donor flag,Donation rate,CA (without QC),NA
Age group,65 to 74 years,2018,fg1fgiv,0.7713787065825158,1.5306373783360911,0.7482373906269449,0.7945200225380867,2647,Donor flag,Donation rate,CA (without QC),NA
Age group,75 years and over,2018,fg1fgiv,0.7824103788933219,1.9106188012922531,0.7531111128714041,0.8117096449152397,1584,Donor flag,Donation rate,CA (without QC),NA
Gender,Male gender,2018,fg1fgiv,0.6339920105574303,1.6645744696462572,0.613307983109494,0.6546760380053666,6309,Donor flag,Donation rate,CA (without QC),NA
Gender,Female gender,2018,fg1fgiv,0.7138330747488598,1.1231580080326857,0.6981191157495155,0.7295470337482042,7827,Donor flag,Donation rate,CA (without QC),NA
Education,Less than High School,2018,fg1fgiv,0.5170411864500957,4.334416259003248,0.47311698776996214,0.5609653851302292,1318,Donor flag,Donation rate,CA (without QC),NA
Education,Graduated from High school,2018,fg1fgiv,0.6066403817958257,2.469892946919558,0.5772735201425595,0.6360072434490919,3108,Donor flag,Donation rate,CA (without QC),NA
Education,Post-secondary diploma,2018,fg1fgiv,0.6844320606553217,1.6417335601667575,0.6624088257056824,0.706455295604961,4465,Donor flag,Donation rate,CA (without QC),NA
Education,University Diploma,2018,fg1fgiv,0.7674927095891697,1.4180982374351578,0.7461608524234842,0.7888245667548552,3992,Donor flag,Donation rate,CA (without QC),NA
Marital status,Married,2018,fg1fgiv,0.748290029805594,1.0355169333013208,0.7331029157385758,0.7634771438726122,7370,Donor flag,Donation rate,CA (without QC),NA
Marital status,Living common-law,2018,fg1fgiv,0.6805542883019572,3.3959032017777626,0.6352576295160739,0.7258509470878405,1044,Donor flag,Donation rate,CA (without QC),NA
Marital status,Widowed,2018,fg1fgiv,0.7320498716471541,2.9187045321672596,0.6901725505151766,0.7739271927791316,1257,Donor flag,Donation rate,CA (without QC),NA
Marital status,Separated,2018,fg1fgiv,0.7002218095810004,4.448517203710221,0.6391699356239757,0.7612736835380252,457,Donor flag,Donation rate,CA (without QC),NA
Marital status,Divorced,2018,fg1fgiv,0.7061278158070798,3.1353099978037853,0.6627355929917136,0.7495200386224461,1186,Donor flag,Donation rate,CA (without QC),NA
Marital status,"Single, never married",2018,fg1fgiv,0.5227929321529314,3.022070234906234,0.491827128765428,0.5537587355404349,2822,Donor flag,Donation rate,CA (without QC),NA
Labour force status,Employed,2018,fg1fgiv,0.6853242475042497,1.3101781347028145,0.6677257927383982,0.7029227022701012,7544,Donor flag,Donation rate,CA (without QC),NA
Labour force status,Unemployed,2018,fg1fgiv,0.5817025502420945,8.17978930131223,0.4884434597097373,0.6749616407744516,296,Donor flag,Donation rate,CA (without QC),NA
Labour force status,Not in labour force,2018,fg1fgiv,0.6560690107716441,1.7194126674076167,0.6339595710360918,0.6781784505071965,5062,Donor flag,Donation rate,CA (without QC),NA
Labour force status,Unable to determine,2018,fg1fgiv,0.710703070053133,3.259338276675906,0.6653020386193946,0.7561041014868715,1234,Donor flag,Donation rate,CA (without QC),NA
Personal income category,"Less than $25,000",2018,fg1fgiv,0.5778674316275263,2.1729746971627235,0.553256334248602,0.6024785290064506,3961,Donor flag,Donation rate,CA (without QC),NA
Personal income category,"$25,000 to $49,999",2018,fg1fgiv,0.6986869626071944,1.5581203964892356,0.6773500419042161,0.7200238833101728,4156,Donor flag,Donation rate,CA (without QC),NA
Personal income category,"$50,000 to $74,999",2018,fg1fgiv,0.7448509210757553,1.8219835312246333,0.7182521300599798,0.7714497120915309,2841,Donor flag,Donation rate,CA (without QC),NA
Personal income category,"$75,000 to $99,999",2018,fg1fgiv,0.7610432715040054,2.1677637039025077,0.7287085308444851,0.7933780121635258,1632,Donor flag,Donation rate,CA (without QC),NA
Personal income category,"$100,000 to $124,999",2018,fg1fgiv,0.8182323813270771,2.4578344970953663,0.7788159420667703,0.8576488205873839,698,Donor flag,Donation rate,CA (without QC),NA
Personal income category,"$125,000 and more",2018,fg1fgiv,0.8352847675247175,1.9918360613790678,0.8026758604311114,0.8678936746183236,848,Donor flag,Donation rate,CA (without QC),NA
Frequency of religious attendance,At least once a week,2018,fg1fgiv,0.8260215947121994,1.815152485064675,0.796634773764818,0.8554084156595808,2220,Donor flag,Donation rate,CA (without QC),NA
Frequency of religious attendance,At least once a month,2018,fg1fgiv,0.7777614611153464,2.8531693143528916,0.7342681916881489,0.8212547305425438,1106,Donor flag,Donation rate,CA (without QC),NA
Frequency of religious attendance,At least 3 times a year,2018,fg1fgiv,0.7188917690367539,3.573025001673725,0.6685477761568268,0.769235761916681,1125,Donor flag,Donation rate,CA (without QC),NA
Frequency of religious attendance,Once or twice a year,2018,fg1fgiv,0.6720888086178142,2.7423821970978373,0.6359642345085434,0.7082133827270849,1805,Donor flag,Donation rate,CA (without QC),NA
Frequency of religious attendance,Not at all,2018,fg1fgiv,0.5959197915328789,1.6160398512734895,0.5770447477995275,0.6147948352662302,6749,Donor flag,Donation rate,CA (without QC),NA
Immigration status,Native-born,2018,fg1fgiv,0.6860036652876371,1.176707346489167,0.6701823351814485,0.7018249953938257,10472,Donor flag,Donation rate,CA (without QC),NA
Immigration status,Naturalized,2018,fg1fgiv,0.6431898616054179,2.2912224845122036,0.6143060473367117,0.6720736758741241,2280,Donor flag,Donation rate,CA (without QC),NA
Immigration status,Non-Canadian,2018,fg1fgiv,0.540310865238039,8.043926031539133,0.4551265061227614,0.6254952243533165,274,Donor flag,Donation rate,CA (without QC),NA
Immigration status,Unknown,2018,fg1fgiv,0.7486545802851512,3.1181000838482067,0.7029015747954273,0.7944075857748751,1110,Donor flag,Donation rate,CA (without QC),NA
Age group,15 to 24 years,2018,fg1fgiv,0.45023925105139617,5.146906275218905,0.40482023681068585,0.4956582652921065,845,Donor flag,Donation rate,CA,NA
Age group,25 to 34 years,2018,fg1fgiv,0.6747382057743451,2.1327764130101774,0.6465330357479331,0.702943375800757,1846,Donor flag,Donation rate,CA,NA
Age group,35 to 44 years,2018,fg1fgiv,0.6964753578057865,1.9186028828728965,0.6702851503308502,0.7226655652807228,2523,Donor flag,Donation rate,CA,NA
Age group,45 to 54 years,2018,fg1fgiv,0.6847484620093921,2.1359683339424973,0.6560820085531501,0.7134149154656341,2609,Donor flag,Donation rate,CA,NA
