Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,rg_010,0.6999334205881605,1.2308305496077148,0.683048341900819,0.7168184992755021,-,Personally affected by cause,Reasons for giving,CA (without QC),
All,NA,2018,rg_020,0.3125392499254244,2.470657757273354,0.29740484859201005,0.3276736512588388,-,Tax credit,Reasons for giving,CA (without QC),
All,NA,2018,rg_030,0.3252179264097704,2.526176210646017,0.3091156896337358,0.34132016318580494,-,Religious reasons,Reasons for giving,CA (without QC),
All,NA,2018,rg_040,0.8514202998651703,0.7783759231456461,0.8384311273355567,0.8644094723947839,-,Personally believed in cause,Reasons for giving,CA (without QC),
All,NA,2018,rg_050,0.8488273353787238,0.7366013000391477,0.8365727131169463,0.8610819576405013,-,Compassion towarde people in need,Reasons for giving,CA (without QC),
All,NA,2018,rg_060,0.7397166569809687,1.0528014622557262,0.7244529518090471,0.7549803621528902,-,Contribution to community,Reasons for giving,CA (without QC),
All,NA,2018,rg_070,0.5129410399714264,1.6431510379198453,0.4964216873204593,0.5294603926223934,-,Was asked by someone familiar,Reasons for giving,CA (without QC),
All,NA,2018,rg_010,0.6948215376350898,1.1748324013042624,0.6788223740603372,0.7108207012098424,-,Personally affected by cause,Reasons for giving,CA,
All,NA,2018,rg_020,0.2810464077603139,2.399370999910105,0.2678296924570053,0.29426312306362257,-,Tax credit,Reasons for giving,CA,
All,NA,2018,rg_030,0.2997911997265813,2.4131356121700973,0.28561209859828146,0.31397030085488115,-,Religious reasons,Reasons for giving,CA,
All,NA,2018,rg_040,0.8427579855494052,0.7630889880093398,0.830153470133328,0.8553625009654824,-,Personally believed in cause,Reasons for giving,CA,
All,NA,2018,rg_050,0.8436069033439658,0.6830877744507714,0.8323124626682932,0.8549013440196385,-,Compassion towarde people in need,Reasons for giving,CA,
All,NA,2018,rg_060,0.7286170330866791,1.0134063273594351,0.714144950833056,0.7430891153403023,-,Contribution to community,Reasons for giving,CA,
All,NA,2018,rg_070,0.482660300109364,1.6391947613320232,0.4671535700397365,0.4981670301789915,-,Was asked by someone familiar,Reasons for giving,CA,
All,NA,2018,rg_010,0.6795809463444972,3.443977794358319,0.6337087401744218,0.7254531525145725,869,Personally affected by cause,Reasons for giving,AB,
All,NA,2018,rg_010,0.7309069171923636,1.863747243844956,0.7042077830567139,0.7576060513280132,2665,Personally affected by cause,Reasons for giving,AT,
