Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,gs1dax01,187.25691145936202,13.263842561795128,138.57638062475928,235.93744229396475,-,Arts & culture,Average donation by subsector,CA (without QC),
All,NA,2018,gs1dax02,80.6985892122212,9.56008368543913,65.5777558493403,95.81942257510208,-,Sports & Recreation,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da202,137.8682433270321,11.416832388500142,107.0180451521509,168.7184415019133,-,Education and research,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da203,178.94559039921998,5.011060004213381,161.3704543691975,196.52072642924247,-,Health,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da204,133.34074078268938,5.15001679118635,119.88152984538385,146.7999517199949,-,Social services,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da205,151.3678878418715,8.707569929525942,125.5346517604018,177.20112392334119,-,Environment,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da206,270.6175954886761,21.136270965283703,158.51065772386377,382.7245332534884,-,Development and housing,Average donation by subsector,CA (without QC),*
All,NA,2018,gs1da207,163.8466268230393,12.315705596161356,124.29677192427565,203.39648172180293,-,"Law, advocacy, and politics",Average donation by subsector,CA (without QC),
All,NA,2018,gs1da208,206.23638161375425,8.258738821538113,172.8532477875018,239.6195154400067,-,Philanthropic intermediaries,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da209,341.16620710178233,6.270280651914872,299.23850334477623,383.09391085878843,-,International,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da210,861.5500207065022,4.446972522228706,786.4581308982494,936.6419105147551,-,Religion,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da211,77.9514717178839,14.694934967966889,55.500244844015405,100.4026985917524,-,Business and professional,Average donation by subsector,CA (without QC),
All,NA,2018,gs1da212,101.98719415353524,19.911810516566632,62.18523170938557,141.78915659768492,-,Not elsewhere classified,Average donation by subsector,CA (without QC),*
All,NA,2018,gs1dax01,181.23518507858674,12.445609582857163,137.02658325611375,225.44378690105972,-,Arts & culture,Average donation by subsector,CA,NA
All,NA,2018,gs1dax02,75.96848608131432,9.88638408513989,61.2481053941113,90.68886676851736,-,Sports & Recreation,Average donation by subsector,CA,NA
All,NA,2018,gs1da202,124.4122483286032,10.400569070790915,99.05113398651099,149.7733626706954,-,Education and research,Average donation by subsector,CA,NA
All,NA,2018,gs1da203,157.00272452471162,4.386083864296998,143.50588104984033,170.49956799958292,-,Health,Average donation by subsector,CA,NA
All,NA,2018,gs1da204,121.44133421879211,4.821019445075631,109.96631281826512,132.9163556193191,-,Social services,Average donation by subsector,CA,NA
All,NA,2018,gs1da205,142.4028315589531,7.986760252363455,120.11143058779032,164.69423253011587,-,Environment,Average donation by subsector,CA,NA
All,NA,2018,gs1da206,222.40922121992998,20.430494190278324,133.34982381816502,311.46861862169493,-,Development and housing,Average donation by subsector,CA,*
All,NA,2018,gs1da207,150.28139414738183,11.825785924806386,115.44900053744934,185.11378775731433,-,"Law, advocacy, and politics",Average donation by subsector,CA,NA
All,NA,2018,gs1da208,184.55121400566867,7.491491982386273,157.4534587171936,211.64896929414374,-,Philanthropic intermediaries,Average donation by subsector,CA,NA
All,NA,2018,gs1da209,316.27889898024904,5.83944553842717,280.0804533986459,352.4773445618522,-,International,Average donation by subsector,CA,NA
All,NA,2018,gs1da210,712.865891350703,4.363747431687344,651.8959843382637,773.8357983631423,-,Religion,Average donation by subsector,CA,NA
All,NA,2018,gs1da211,75.39846049442386,13.638224367283325,55.24412886685655,95.55279212199116,-,Business and professional,Average donation by subsector,CA,NA
All,NA,2018,gs1da212,94.98172995888089,18.102202068274465,61.282531218149714,128.68092869961208,-,Not elsewhere classified,Average donation by subsector,CA,*
All,NA,2018,gs1dax01,191.55593718048192,24.096116899334103,101.08881616638399,282.02305819457985,64,Arts & culture,Average donation by subsector,AB,*
All,NA,2018,gs1dax01,131.07988629016046,24.007854007356514,69.40086291975588,192.75890966056505,189,Arts & culture,Average donation by subsector,AT,*
All,NA,2018,gs1dax01,218.5987483962166,32.2486781370959,80.43068202076157,356.76681477167165,101,Arts & culture,Average donation by subsector,BC,*
All,NA,2018,gs1dax01,187.2718405761945,21.42195287700882,108.64340595600808,265.9002751963809,204,Arts & culture,Average donation by subsector,ON,*
All,NA,2018,gs1dax01,169.64150037570988,23.618164198770113,91.11317548695813,248.16982526446162,78,Arts & culture,Average donation by subsector,PR,*
All,NA,2018,gs1dax01,143.4919453671293,36.12632870039877,41.89060353975957,245.093287194499,61,Arts & culture,Average donation by subsector,QC,...
All,NA,2018,gs1dax02,104.36549058646312,20.95247605000115,61.50665547968128,147.22432569324496,205,Sports & Recreation,Average donation by subsector,AB,*
All,NA,2018,gs1dax02,40.88738827970809,10.168983106826559,32.738188076233044,49.03658848318314,900,Sports & Recreation,Average donation by subsector,AT,NA
All,NA,2018,gs1dax02,112.5927487101292,32.65199332509553,40.537070259448754,184.64842716080966,290,Sports & Recreation,Average donation by subsector,BC,*
All,NA,2018,gs1dax02,73.92134129273026,10.42412172874917,58.81854363951928,89.02413894594125,524,Sports & Recreation,Average donation by subsector,ON,NA
All,NA,2018,gs1dax02,80.88124107973637,11.792992093019258,62.18648061073187,99.57600154874086,369,Sports & Recreation,Average donation by subsector,PR,NA
All,NA,2018,gs1dax02,61.361058681343536,28.67646161225134,26.87317875812736,95.84893860455972,246,Sports & Recreation,Average donation by subsector,QC,*
All,NA,2018,gs1da202,169.18617724130394,25.22579054187831,85.53775496340057,252.8345995192073,222,Education and research,Average donation by subsector,AB,*
All,NA,2018,gs1da202,136.96459704865535,22.54387051784335,76.44655113107278,197.4826429662379,749,Education and research,Average donation by subsector,AT,*
All,NA,2018,gs1da202,116.07193853096445,14.849280724428008,82.29029721825063,149.85357984367826,290,Education and research,Average donation by subsector,BC,NA
All,NA,2018,gs1da202,139.3868808504284,19.722766501431092,85.50561082383697,193.26815087701985,714,Education and research,Average donation by subsector,ON,*
All,NA,2018,gs1da202,119.73211629186933,19.78643022460024,73.29917469655098,166.1650578871877,339,Education and research,Average donation by subsector,PR,*
All,NA,2018,gs1da202,70.4190148582915,21.69960898778176,40.46948947845863,100.36854023812438,272,Education and research,Average donation by subsector,QC,*
All,NA,2018,gs1da203,159.46745987900312,8.443749829452637,133.07647942010428,185.85844033790195,618,Health,Average donation by subsector,AB,NA
All,NA,2018,gs1da203,98.65440260377328,5.660960739598436,87.7084212238472,109.60038398369936,2224,Health,Average donation by subsector,AT,NA
All,NA,2018,gs1da203,191.72668485762287,9.768592273642012,155.01852306902165,228.4348466462241,889,Health,Average donation by subsector,BC,NA
All,NA,2018,gs1da203,194.74216109232324,7.8837755523102455,164.6507656619113,224.8335565227352,2248,Health,Average donation by subsector,ON,NA
All,NA,2018,gs1da203,183.04618926493697,10.270322953525204,146.19997414363291,219.89240438624103,1003,Health,Average donation by subsector,PR,NA
All,NA,2018,gs1da203,90.79836399719638,6.987891061481173,78.36260661836226,103.23412137603049,1006,Health,Average donation by subsector,QC,NA
All,NA,2018,gs1da204,146.2025068084853,12.418850997633763,110.61608463767134,181.78892897929927,521,Social services,Average donation by subsector,AB,NA
All,NA,2018,gs1da204,103.32987896416499,8.291049481679075,86.53860998055767,120.12114794777231,1803,Social services,Average donation by subsector,AT,NA
All,NA,2018,gs1da204,133.90812421160837,7.858378653687345,113.28340860330924,154.5328398199075,833,Social services,Average donation by subsector,BC,NA
All,NA,2018,gs1da204,133.10358785361112,8.709360399993686,110.38276186566557,155.82441384155666,1680,Social services,Average donation by subsector,ON,NA
All,NA,2018,gs1da204,148.39064146477673,11.867255414611636,113.87587868264532,182.90540424690815,787,Social services,Average donation by subsector,PR,NA
All,NA,2018,gs1da204,81.93216451492165,13.20787937229573,60.7224114020401,103.1419176278032,786,Social services,Average donation by subsector,QC,NA
All,NA,2018,gs1da205,238.53212199868244,27.862367871405397,108.27154885868973,368.7926951386752,115,Environment,Average donation by subsector,AB,*
All,NA,2018,gs1da205,183.55498454152405,16.771929175043564,123.2160977741512,243.8938713088969,455,Environment,Average donation by subsector,AT,*
All,NA,2018,gs1da205,157.59887794860003,17.841199296511732,102.48953200277509,212.70822389442498,270,Environment,Average donation by subsector,BC,*
All,NA,2018,gs1da205,130.39524488851438,12.333177665874901,98.87534473361112,161.91514504341765,385,Environment,Average donation by subsector,ON,NA
All,NA,2018,gs1da205,102.86077709202345,13.366674197523379,75.91310496709568,129.80844921695123,242,Environment,Average donation by subsector,PR,NA
All,NA,2018,gs1da205,96.96228784478694,14.893890632758408,68.65755203152592,125.26702365804796,137,Environment,Average donation by subsector,QC,NA
All,NA,2018,gs1da206,789.9982384915961,48.04059933920397,46.15292553552797,1533.8435514476641,36,Development and housing,Average donation by subsector,AB,...
All,NA,2018,gs1da206,119.19088568176896,29.18146895426288,51.02010180792699,187.36166955561094,145,Development and housing,Average donation by subsector,AT,*
All,NA,2018,gs1da206,85.91945226231825,20.336110317532473,51.673639340012336,120.16526518462416,51,Development and housing,Average donation by subsector,BC,*
All,NA,2018,gs1da206,219.63947956835642,27.17010364547171,102.67613131643094,336.6028278202819,119,Development and housing,Average donation by subsector,ON,*
All,NA,2018,gs1da206,231.40637583614017,26.0683273750995,113.17395604967717,349.6387956226032,93,Development and housing,Average donation by subsector,PR,*
All,NA,2018,gs1da206,42.67947825807953,23.537025151716655,22.990700167483052,62.368256348676,52,Development and housing,Average donation by subsector,QC,*
All,NA,2018,gs1da207,163.98247045217974,22.973875177001425,90.14449624247479,237.8204446618847,63,"Law, advocacy, and politics",Average donation by subsector,AB,*
All,NA,2018,gs1da207,65.88413583863966,12.00191620870104,50.38599742056962,81.3822742567097,304,"Law, advocacy, and politics",Average donation by subsector,AT,NA
All,NA,2018,gs1da207,227.10385795463907,19.91626159546145,138.4535140059287,315.75420190334944,89,"Law, advocacy, and politics",Average donation by subsector,BC,*
All,NA,2018,gs1da207,175.9809977545446,20.604235985975176,104.9136051256303,247.04839038345892,167,"Law, advocacy, and politics",Average donation by subsector,ON,*
All,NA,2018,gs1da207,165.39585144329232,37.12837792934868,45.03682137482778,285.7548815117568,103,"Law, advocacy, and politics",Average donation by subsector,PR,...
All,NA,2018,gs1da207,83.6422794932477,28.01283808376246,37.71919376116822,129.56536522532718,54,"Law, advocacy, and politics",Average donation by subsector,QC,*
All,NA,2018,gs1da208,333.4939219623629,22.540290668767284,186.1624504914147,480.8253934333111,163,Philanthropic intermediaries,Average donation by subsector,AB,*
All,NA,2018,gs1da208,111.00518968225829,12.998570066966591,82.7246981291938,139.28568123532278,553,Philanthropic intermediaries,Average donation by subsector,AT,NA
All,NA,2018,gs1da208,263.5561555921891,31.006685387547755,103.38784392797135,423.72446725640685,176,Philanthropic intermediaries,Average donation by subsector,BC,*
All,NA,2018,gs1da208,182.9658937114277,9.911952618296256,147.42098119259313,218.51080623026226,626,Philanthropic intermediaries,Average donation by subsector,ON,NA
All,NA,2018,gs1da208,172.78879094158717,21.60807555823483,99.61092392125056,245.96665796192377,283,Philanthropic intermediaries,Average donation by subsector,PR,*
All,NA,2018,gs1da208,108.54251952098969,16.788801882770887,72.82611825084842,144.25892079113095,276,Philanthropic intermediaries,Average donation by subsector,QC,*
All,NA,2018,gs1da209,437.0337756459649,12.606157864862153,329.0531511975711,545.0144000943587,159,International,Average donation by subsector,AB,NA
All,NA,2018,gs1da209,224.07856413334994,10.093552732650108,179.74910216718916,268.4080260995107,286,International,Average donation by subsector,AT,NA
