Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2013,gs1dax01,167.93989399219095,13.297229793675097,124.17124517214663,211.70854281223527,-,Arts & culture,Average donation by subsector,CA (without QC),
All,NA,2013,gs1dax02,53.810870773193614,7.58322944083571,45.81303822005208,61.80870332633515,-,Sports & Recreation,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da202,100.20107332037728,11.803863857553456,77.01940667082182,123.38273996993273,-,Education and research,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da203,151.818125448637,4.116437684628081,139.56933341219622,164.0669174850778,-,Health,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da204,157.0150317734951,9.16966641140109,128.7959512416558,185.2341123053344,-,Social services,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da205,136.08750787574803,9.652172873347716,110.34259397564746,161.83242177584862,-,Environment,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da206,208.85789900946557,18.093731556381158,134.79049238155486,282.92530563737625,-,Development and housing,Average donation by subsector,CA (without QC),*
All,NA,2013,gs1da207,139.23647898453586,14.46268547819059,99.76802954805981,178.7049284210119,-,"Law, advocacy, and politics",Average donation by subsector,CA (without QC),
All,NA,2013,gs1da208,283.85786240811774,13.472080656418772,208.90578175600908,358.8099430602264,-,Philanthropic intermediaries,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da209,437.1796005508975,12.294172117450627,331.8362156898281,542.5229854119668,-,International,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da210,673.7498989536541,4.984960313448275,607.9222250283516,739.5775728789566,-,Religion,Average donation by subsector,CA (without QC),
All,NA,2013,gs1da211,101.7562072713267,28.294901801443412,45.32527913030954,158.18713541234388,-,Business and professional,Average donation by subsector,CA (without QC),*
All,NA,2013,gs1da212,163.55700494580023,15.55071874842668,113.7067129018024,213.40729698979806,-,Not elsewhere classified,Average donation by subsector,CA (without QC),
All,NA,2013,gs1dax01,159.4396485092835,11.875822913358,122.32818064488504,196.55111637368196,-,Arts & culture,Average donation by subsector,CA,NA
All,NA,2013,gs1dax02,50.10218533344224,7.040311388143569,43.18870664748113,57.01566401940335,-,Sports & Recreation,Average donation by subsector,CA,NA
All,NA,2013,gs1da202,91.56776311185536,10.578612160231884,72.5823788732865,110.55314735042421,-,Education and research,Average donation by subsector,CA,NA
