Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2013,gs1dnx01,1.1382473784390477,1.7841789926286247,1.098443703458255,1.1780510534198403,-,Arts & culture,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dnx02,1.2108933322882323,1.4846331992075024,1.1756584238902832,1.2461282406861813,-,Sports & Recreation,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn202,1.1716834605361128,1.1320713504901259,1.1456859244164033,1.1976809966558224,-,Education and research,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn203,2.130488287117167,1.1717390024635832,2.0815602122805275,2.1794163619538067,-,Health,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn204,1.5817271912857713,1.0623782777694617,1.548792101343064,1.6146622812284785,-,Social services,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn205,1.1681633348826863,1.4195159157228323,1.1356626937583831,1.2006639760069895,-,Environment,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn206,1.114431110193835,2.428706364222322,1.0613822167732363,1.1674800036144335,-,Development and housing,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn207,1.1069130428900402,2.0139859536008236,1.0632194223086586,1.1506066634714218,-,"Law, advocacy, and politics",Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn208,1.0868809751207547,1.1048006065294003,1.0633459870830715,1.1104159631584378,-,Philanthropic intermediaries,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn209,1.1848027203923104,1.521033576902611,1.1494817249292606,1.2201237158553602,-,International,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn210,1.2730304253996643,0.9934903061019811,1.2482419105174662,1.2978189402818623,-,Religion,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn211,1.0111718506478016,1.3007965231653933,0.9853918793476792,1.036951821947924,-,Business and professional,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dn212,1.0525850682796847,2.3034325041322217,1.0050645917667003,1.100105544792669,-,Not elsewhere classified,Average number of donations by subsector,CA (without QC),
All,NA,2013,gs1dnx01,1.1271275734000985,1.6007356620953583,1.0917652504745592,1.1624898963256378,-,Arts & culture,Average number of donations by subsector,CA,NA
