Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,fv_020,0.030643135784306424,6.6422692169461826,0.02665382592255461,0.03463244564605823,-,Canvassing,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_030,0.16096152288700455,2.3963784095076623,0.15340145733066127,0.16852158844334783,-,Fundraising,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_040,0.13071553050533707,2.7392002420294412,0.12369776161003132,0.13773329940064283,-,Sit on committee or board,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_050,0.12094876938426834,3.0353918502799733,0.11375321419246132,0.12814432457607536,-,Teaching or mentoring,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_060,0.17821313554143628,2.3728688050601443,0.16992491059873985,0.1865013604841327,-,Organize activities or events,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_070,0.07389900828147249,3.660009623276519,0.0685978724962452,0.07920014406669977,-,Office work,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_080,0.057633712119688325,4.803414367390245,0.05220777524788554,0.06305964899149111,-,"Coach, referee or officiate",Volunteer rate by activity,CA,NA,
All,NA,2018,fv_090,0.0980592070427334,3.2248053015332414,0.09186137265707056,0.10425704142839623,-,Counsel or provide advice,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_100,0.07820146379868055,3.4426724628758287,0.07292480905109604,0.08347811854626506,-,Health care or support,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_110,0.10745421072977307,3.0444341535654633,0.10104243807559841,0.11386598338394772,-,"Collect, serve or deliver goods",Volunteer rate by activity,CA,NA,
All,NA,2018,fv_120,0.061311030621230035,4.178935741476082,0.05628931169687737,0.0663327495455827,-,"Maintenance, repair or building",Volunteer rate by activity,CA,NA,
All,NA,2018,fv_130,0.06313809982562463,3.9849138463229403,0.05820683263125882,0.06806936701999043,-,Volunteer driving,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_140,0.020322727926346457,7.775951596042327,0.01722542528742087,0.023420030565272042,-,"First aid, firefighting",Volunteer rate by activity,CA,NA,
All,NA,2018,fv_150,0.05379069270706641,4.189208084839648,0.04937410193080931,0.05820728348332352,-,Protection of the environment,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_160,0.07618790187243664,4.060509057755015,0.07012452464383359,0.08225127910103969,-,Other,Volunteer rate by activity,CA,NA,
All,NA,2018,fv_020,0.03014644422140277,7.856489622391195,0.0255043630892224,0.03478852535358314,-,Canvassing,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_030,0.1815029318263274,2.48436559716725,0.1726650692906689,0.1903407943619859,-,Fundraising,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_040,0.13824904655059084,2.829307872331056,0.1305826647560861,0.14591542834509558,-,Sit on committee or board,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_050,0.13501449790405692,3.0463911309005822,0.12695302944657846,0.14307596636153538,-,Teaching or mentoring,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_060,0.19334329304095402,2.447217759722836,0.18406966189635265,0.20261692418555538,-,Organize activities or events,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_070,0.08047982334178287,3.7999609068501803,0.07448585790754413,0.08647378877602162,-,Office work,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_080,0.06408389343520576,4.846793667634914,0.057996217685308514,0.070171569185103,-,"Coach, referee or officiate",Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_090,0.09306692533969328,3.574615938490007,0.08654654626794615,0.09958730441144041,-,Counsel or provide advice,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_100,0.08503846381283493,3.747863817216783,0.07879181199935897,0.09128511562631089,-,Health care or support,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_110,0.11381542683604748,3.2798912147982944,0.10649883779823231,0.12113201587386264,-,"Collect, serve or deliver goods",Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_120,0.06533454887578603,4.4911830257268655,0.05958343798441288,0.07108565976715918,-,"Maintenance, repair or building",Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_130,0.06687971189115342,4.356484326022147,0.061169152660926894,0.07259027112137995,-,Volunteer driving,Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_140,0.023236456541457885,7.987747971438932,0.01959862700004952,0.02687428608286625,-,"First aid, firefighting",Volunteer rate by activity,CA (without QC),NA,
All,NA,2018,fv_150,0.05946877650016134,4.454575063401925,0.054276672582609015,0.06466088041771366,-,Protection of the environment,Volunteer rate by activity,CA (without QC),NA,
