Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,mv1_30,27.02184335942157,19.012393743051394,16.952529846817576,37.091156872025564,-,Canvassing,Average hours volunteered per activity,CA,NA,*
All,NA,2018,mv1_40,24.043880597335964,7.244866201858076,20.629727255495066,27.45803393917686,-,Fundraising,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_50,42.2360376737708,6.586357359001241,36.78377776623225,47.68829758130936,-,Sit on committee or board,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_60,66.62979577998517,7.995674810316881,56.18808412961489,77.07150743035545,-,Teaching or mentoring,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_70,47.62287920977649,9.080805216918359,39.14693479663895,56.09882362291403,-,Organize activities or events,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_80,58.62994817579403,8.766470784855747,48.5561698223429,68.70372652924516,-,Office work,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_90,73.24311242396928,10.502560766878018,58.16628078521434,88.31994406272422,-,"Coach, referee or officiate",Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_100,33.86078760250065,9.898041434297918,27.291860928012586,40.42971427698871,-,Counsel or provide advice,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_110,65.03509969411951,9.70783823237445,52.66086262357332,77.4093367646657,-,Health care or support,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_120,32.22056872755445,8.566653124856808,26.81062839712272,37.63050905798618,-,"Collect, serve or deliver goods",Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_130,40.68761976967499,11.409888310139843,31.588659503599796,49.78658003575018,-,"Maintenance, repair or building",Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_140,29.871423742921316,11.31112379606146,23.24910974208364,36.49373774375899,-,Volunteer driving,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_150,47.00436707769258,13.708180428699885,34.375449982450135,59.63328417293502,-,"First aid, firefighting",Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_160,49.965122938320754,38.0667542060682,12.68641090211674,87.24383497452476,-,Protection of the environment,Average hours volunteered per activity,CA,NA,...
All,NA,2018,mv1_170,77.19723500476032,7.566886178907087,65.74824865053276,88.64622135898787,-,Other,Average hours volunteered per activity,CA,NA,
All,NA,2018,mv1_30,27.39112891939794,18.819686100104697,17.287662591838988,37.49459524695689,-,Canvassing,Average hours volunteered per activity,CA (without QC),NA,*
All,NA,2018,mv1_40,23.767161217056362,6.43660822447774,20.768810168373914,26.76551226573881,-,Fundraising,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_50,44.60079752494719,7.419739122811736,38.114761576402515,51.086833473491865,-,Sit on committee or board,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_60,64.80537636350606,8.055964382793979,54.57299623490705,75.03775649210506,-,Teaching or mentoring,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_70,47.403972211065984,10.516503680626272,37.63308041140887,57.1748640107231,-,Organize activities or events,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_80,51.567971670792204,8.021818960927705,43.460209570224315,59.67573377136009,-,Office work,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_90,79.05098626567133,10.90428658650817,62.156202376929315,95.94577015441334,-,"Coach, referee or officiate",Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_100,36.99385851432718,12.087705729495617,28.229470404787,45.75824662386736,-,Counsel or provide advice,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_110,68.67965629751299,10.865398430538121,54.05378119333879,83.30553140168719,-,Health care or support,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_120,29.478680592431957,9.211996458663958,24.156251371133088,34.801109813730825,-,"Collect, serve or deliver goods",Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_130,43.29622411373182,11.971239606067503,33.137545116364194,53.45490311109944,-,"Maintenance, repair or building",Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_140,30.270158154999923,12.187860970987211,23.039292834695065,37.501023475304784,-,Volunteer driving,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_150,47.828398214870504,13.249345725267322,35.40820476771572,60.248591662025284,-,"First aid, firefighting",Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_160,54.93368129686465,41.30427200657132,10.462182479790691,99.4051801139386,-,Protection of the environment,Average hours volunteered per activity,CA (without QC),NA,...
All,NA,2018,mv1_170,79.63122618161954,8.490277033751799,66.3800827309061,92.88236963233298,-,Other,Average hours volunteered per activity,CA (without QC),NA,
All,NA,2018,mv1_30,29.4202793548506,40.02499180091193,6.340793230431732,52.49976547926947,26,Canvassing,Average hours volunteered per activity,AB,NA,...
All,NA,2018,mv1_30,36.27684478286325,27.267282675550263,16.889449804422508,55.66423976130399,92,Canvassing,Average hours volunteered per activity,AT,NA,*
All,NA,2018,mv1_30,27.545555126340147,36.184838787745974,8.00997726107854,47.081132991601756,33,Canvassing,Average hours volunteered per activity,BC,NA,...
All,NA,2018,mv1_30,27.531816482699202,33.81257476090018,9.286088337153156,45.77754462824525,76,Canvassing,Average hours volunteered per activity,ON,NA,...
All,NA,2018,mv1_30,8.958974271326328,27.965115922098054,4.04850492481254,13.869443617840115,32,Canvassing,Average hours volunteered per activity,PR,NA,*
All,NA,2018,mv1_30,26.059059703529574,48.731249328417405,1.169662561181248,50.9484568458779,49,Canvassing,Average hours volunteered per activity,QC,NA,...
All,NA,2018,mv1_40,16.2279061081048,12.416676387866204,12.278644169551685,20.17716804665792,231,Fundraising,Average hours volunteered per activity,AB,NA,
All,NA,2018,mv1_40,29.256732753759177,9.713243387717371,23.68695088874201,34.82651461877634,725,Fundraising,Average hours volunteered per activity,AT,NA,
All,NA,2018,mv1_40,25.567004475534883,15.056690893425973,18.022035242866927,33.11197370820284,318,Fundraising,Average hours volunteered per activity,BC,NA,
All,NA,2018,mv1_40,24.777271195999326,11.308340082450647,19.285651851258166,30.268890540740486,650,Fundraising,Average hours volunteered per activity,ON,NA,
All,NA,2018,mv1_40,22.750442781758615,14.362249422547718,16.346308800767396,29.154576762749834,321,Fundraising,Average hours volunteered per activity,PR,NA,
All,NA,2018,mv1_40,25.638865513123008,32.27847004714615,9.418529861914124,41.85920116433189,191,Fundraising,Average hours volunteered per activity,QC,NA,*
All,NA,2018,mv1_50,47.27952134114151,16.764112095555596,31.74486256587999,62.81418011640303,208,Sit on committee or board,Average hours volunteered per activity,AB,NA,*
All,NA,2018,mv1_50,41.62231352738615,11.071637937524663,32.59026666066841,50.65436039410388,603,Sit on committee or board,Average hours volunteered per activity,AT,NA,
All,NA,2018,mv1_50,51.01759300714622,17.801477136159978,33.217425192428124,68.81776082186431,317,Sit on committee or board,Average hours volunteered per activity,BC,NA,*
All,NA,2018,mv1_50,43.918657356434174,12.097115990010373,33.50558249618476,54.33173221668359,598,Sit on committee or board,Average hours volunteered per activity,ON,NA,
All,NA,2018,mv1_50,35.82325861360791,12.542347251751771,27.01698854912528,44.629528678090544,337,Sit on committee or board,Average hours volunteered per activity,PR,NA,
All,NA,2018,mv1_50,32.96897142114756,10.312392221133834,26.305310167061236,39.63263267523388,278,Sit on committee or board,Average hours volunteered per activity,QC,NA,
All,NA,2018,mv1_60,67.94393137669309,14.240289543889132,48.98047123226328,86.90739152112289,171,Teaching or mentoring,Average hours volunteered per activity,AB,NA,
All,NA,2018,mv1_60,57.77934212440974,11.737510567836305,44.48714785584422,71.07153639297526,361,Teaching or mentoring,Average hours volunteered per activity,AT,NA,
All,NA,2018,mv1_60,70.92457384230873,18.059311257573025,45.820395631303114,96.02875205331435,265,Teaching or mentoring,Average hours volunteered per activity,BC,NA,*
All,NA,2018,mv1_60,53.60986805242251,10.29960311634567,42.78772377994889,64.43201232489614,480,Teaching or mentoring,Average hours volunteered per activity,ON,NA,
All,NA,2018,mv1_60,105.84497366681634,29.61520403914964,44.40754097824473,167.28240635538796,225,Teaching or mentoring,Average hours volunteered per activity,PR,NA,*
All,NA,2018,mv1_60,77.78442523860146,25.856652897137007,38.36474986741986,117.20410060978305,141,Teaching or mentoring,Average hours volunteered per activity,QC,NA,*
All,NA,2018,mv1_70,43.06767547805741,15.356619728552321,30.10498494269401,56.03036601342081,253,Organize activities or events,Average hours volunteered per activity,AB,NA,
All,NA,2018,mv1_70,43.935087692413575,9.023112128386456,36.16517850560664,51.70499687922051,655,Organize activities or events,Average hours volunteered per activity,AT,NA,
All,NA,2018,mv1_70,48.095405071854074,13.87566309493967,35.01547493409897,61.17533520960918,387,Organize activities or events,Average hours volunteered per activity,BC,NA,
All,NA,2018,mv1_70,50.1043572332756,18.78982081647538,31.652239168562346,68.55647529798885,751,Organize activities or events,Average hours volunteered per activity,ON,NA,*
All,NA,2018,mv1_70,42.28371340815816,11.588720144664093,32.67961311025699,51.887813706059326,345,Organize activities or events,Average hours volunteered per activity,PR,NA,
All,NA,2018,mv1_70,48.72441331543442,12.146690467701353,37.12455528091127,60.32427134995757,293,Organize activities or events,Average hours volunteered per activity,QC,NA,
All,NA,2018,mv1_80,46.11799158825877,28.736645803852756,20.14305165929167,72.09293151722586,104,Office work,Average hours volunteered per activity,AB,NA,*
All,NA,2018,mv1_80,67.75324903083417,13.120751507347075,50.329687729504975,85.17681033216337,249,Office work,Average hours volunteered per activity,AT,NA,
All,NA,2018,mv1_80,45.09898095362483,20.1052607976443,27.32746274934271,62.87049915790695,161,Office work,Average hours volunteered per activity,BC,NA,*
All,NA,2018,mv1_80,56.33477984402771,11.027402731902589,44.158968000536845,68.51059168751857,310,Office work,Average hours volunteered per activity,ON,NA,
All,NA,2018,mv1_80,36.63990506714679,19.216421895821707,22.840036317367332,50.43977381692625,137,Office work,Average hours volunteered per activity,PR,NA,*
All,NA,2018,mv1_80,90.13372741391062,22.90955299522053,49.66197237059578,130.60548245722546,145,Office work,Average hours volunteered per activity,QC,NA,*
All,NA,2018,mv1_90,80.24707695115785,25.781756102234578,39.697174987722796,120.7969789145929,78,"Coach, referee or officiate",Average hours volunteered per activity,AB,NA,*
All,NA,2018,mv1_90,66.4296939195204,13.002969175518956,49.499853072491504,83.3595347665493,167,"Coach, referee or officiate",Average hours volunteered per activity,AT,NA,
All,NA,2018,mv1_90,62.111240461838115,17.142553268927408,41.242617069698625,82.9798638539776,92,"Coach, referee or officiate",Average hours volunteered per activity,BC,NA,*
All,NA,2018,mv1_90,81.63907012403789,18.11956460972799,52.646020534421325,110.63211971365445,200,"Coach, referee or officiate",Average hours volunteered per activity,ON,NA,*
All,NA,2018,mv1_90,106.56087654355741,35.36588780818584,32.69728173959038,180.42447134752445,85,"Coach, referee or officiate",Average hours volunteered per activity,PR,NA,...
All,NA,2018,mv1_90,42.39566385263522,26.614738478868915,20.280419913811553,64.51090779145888,51,"Coach, referee or officiate",Average hours volunteered per activity,QC,NA,*
All,NA,2018,mv1_100,39.452159561492394,40.23401471930591,8.341283378940076,70.56303574404471,92,Counsel or provide advice,Average hours volunteered per activity,AB,NA,...
All,NA,2018,mv1_100,33.763193938669644,15.025736857192406,23.819966046589137,43.70642183075015,240,Counsel or provide advice,Average hours volunteered per activity,AT,NA,
All,NA,2018,mv1_100,43.079308594554874,21.017396447759236,25.333502498326624,60.825114690783124,120,Counsel or provide advice,Average hours volunteered per activity,BC,NA,*
All,NA,2018,mv1_100,32.93670221014801,18.116107294110638,21.24189441833142,44.63151000196461,304,Counsel or provide advice,Average hours volunteered per activity,ON,NA,*
All,NA,2018,mv1_100,45.70834641469832,25.93316187297774,22.47567917649253,68.9410136529041,132,Counsel or provide advice,Average hours volunteered per activity,PR,NA,*
All,NA,2018,mv1_100,26.57573723351818,15.262946576906097,18.625651791201378,34.52582267583498,222,Counsel or provide advice,Average hours volunteered per activity,QC,NA,
All,NA,2018,mv1_110,60.44706350988903,26.49431647897743,29.058169134013113,91.83595788576494,61,Health care or support,Average hours volunteered per activity,AB,NA,*
All,NA,2018,mv1_110,49.553805040911904,18.300792340412116,31.77940329938907,67.32820678243473,204,Health care or support,Average hours volunteered per activity,AT,NA,*
