Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,gs1datot,568.9948690978531,2.8857380933569385,536.8128451548273,601.1768930408789,-,Total amount of donations,Average total amount of donations,CA,
All,NA,2018,gs1datot,665.1916870951142,3.067673772047267,625.1968366224247,705.1865375678036,-,Total amount of donations,Average total amount of donations,CA (without QC),
All,NA,2018,gs1datot,924.971559375166,9.527765333827345,752.2416590054002,1097.7014597449318,1013,Total amount of donations,Average total amount of donations,AB,
All,NA,2018,gs1datot,482.29931570827,4.884704574998423,436.1247265831795,528.4739048333605,3212,Total amount of donations,Average total amount of donations,AT,
All,NA,2018,gs1datot,643.5377813135731,6.6984285991223524,559.0497730013351,728.0257896258111,1532,Total amount of donations,Average total amount of donations,BC,
All,NA,2018,gs1datot,612.7689886241125,4.841842249901649,554.6182139183039,670.919763329921,3289,Total amount of donations,Average total amount of donations,ON,
All,NA,2018,gs1datot,769.1265089653866,6.322885279290354,673.8115262763396,864.4414916544337,1599,Total amount of donations,Average total amount of donations,PR,
All,NA,2018,gs1datot,251.29115908161006,7.88057145415381,212.47764077740342,290.1046773858167,1509,Total amount of donations,Average total amount of donations,QC,
Age group,15 to 24 years,2018,gs1datot,179.15871809015803,14.505976312892766,128.2217605169701,230.09567566334596,406,Total amount of donations,Average total amount of donations,CA,NA
Age group,25 to 34 years,2018,gs1datot,464.7004786014567,11.95898217398528,355.7785232039155,573.622433998998,1293,Total amount of donations,Average total amount of donations,CA,NA
Age group,35 to 44 years,2018,gs1datot,570.4862177253161,7.20093111643077,489.97027090034277,651.0021645502894,1870,Total amount of donations,Average total amount of donations,CA,NA
Age group,45 to 54 years,2018,gs1datot,563.7203778234388,7.042706960847084,485.90750607366897,641.5332495732085,1954,Total amount of donations,Average total amount of donations,CA,NA
Age group,55 to 64 years,2018,gs1datot,684.8663585688014,5.057771704323486,616.9752113910844,752.7575057465184,2701,Total amount of donations,Average total amount of donations,CA,NA
Age group,65 to 74 years,2018,gs1datot,675.9854389509304,5.836282785970081,598.6601131020993,753.3107647997615,2439,Total amount of donations,Average total amount of donations,CA,NA
Age group,75 years and over,2018,gs1datot,778.1525348344115,6.8566364653764715,673.5784791415081,882.726590527315,1491,Total amount of donations,Average total amount of donations,CA,NA
Gender,Male gender,2018,gs1datot,577.3151218469658,4.240253085132346,529.3359438523199,625.2942998416116,5149,Total amount of donations,Average total amount of donations,CA,NA
Gender,Female gender,2018,gs1datot,561.8090387183765,4.081772419141264,516.8636024908177,606.7544749459354,7005,Total amount of donations,Average total amount of donations,CA,NA
Education,Less than High School,2018,gs1datot,318.96654408868113,11.366732958531859,247.90594229241708,390.0271458849452,964,Total amount of donations,Average total amount of donations,CA,NA
Education,Graduated from High school,2018,gs1datot,375.30841367852435,6.589579852450614,326.83605906565055,423.78076829139815,2438,Total amount of donations,Average total amount of donations,CA,NA
Education,Post-secondary diploma,2018,gs1datot,519.7556667954836,6.094460469608768,457.6712524753807,581.8400811155866,3885,Total amount of donations,Average total amount of donations,CA,NA
Education,University Diploma,2018,gs1datot,833.766845589922,4.272943626843854,763.9404095995582,903.5932815802859,3767,Total amount of donations,Average total amount of donations,CA,NA
Marital status,Married,2018,gs1datot,694.7904611606796,3.8990596624075238,641.6944593957323,747.8864629256268,6463,Total amount of donations,Average total amount of donations,CA,NA
Marital status,Living common-law,2018,gs1datot,248.9994619057127,8.879668202202192,205.66401917598228,292.33490463544314,1102,Total amount of donations,Average total amount of donations,CA,NA
Marital status,Widowed,2018,gs1datot,875.616511332765,8.474299738798832,730.1825430089741,1021.0504796565558,1143,Total amount of donations,Average total amount of donations,CA,NA
Marital status,Separated,2018,gs1datot,481.0783693728001,15.703236961080814,333.0131325864828,629.1436061591174,375,Total amount of donations,Average total amount of donations,CA,NA
Marital status,Divorced,2018,gs1datot,561.2283770633563,8.03328462825076,472.863257852732,649.5934962739807,1031,Total amount of donations,Average total amount of donations,CA,NA
Marital status,"Single, never married",2018,gs1datot,371.0121556305616,7.923351425687988,313.39588439416616,428.62842686695706,2040,Total amount of donations,Average total amount of donations,CA,NA
Labour force status,Employed,2018,gs1datot,570.621514154199,4.11834358554001,524.5620576523468,616.6809706560512,6433,Total amount of donations,Average total amount of donations,CA,NA
Labour force status,Unemployed,2018,gs1datot,318.11979549437683,18.940850384560072,200.0229603551255,436.21663063362814,220,Total amount of donations,Average total amount of donations,CA,*
Labour force status,Not in labour force,2018,gs1datot,588.5586424629497,4.480583618051124,536.8727024727127,640.2445824531867,4423,Total amount of donations,Average total amount of donations,CA,NA
Labour force status,Unable to determine,2018,gs1datot,579.7237392624688,12.680660322640827,435.64130241595956,723.8061761089781,1078,Total amount of donations,Average total amount of donations,CA,NA
Personal income category,"Less than $25,000",2018,gs1datot,378.76946676179335,4.826368987544067,342.9397334806172,414.5992000429695,3046,Total amount of donations,Average total amount of donations,CA,NA
Personal income category,"$25,000 to $49,999",2018,gs1datot,500.8289505872942,6.294925958244956,439.03753527074144,562.620365903847,3625,Total amount of donations,Average total amount of donations,CA,NA
Personal income category,"$50,000 to $74,999",2018,gs1datot,574.5519969877428,5.776616025936317,509.5014533674627,639.6025406080228,2570,Total amount of donations,Average total amount of donations,CA,NA
