Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,gs1dntot,3.7113897669012035,0.9832143642089621,3.6398688832304638,3.782910650571943,-,Total number of donations,Average total number of donations,CA (without QC),
All,NA,2018,gs1dntot,3.6550544795548685,0.9420082778910062,3.5875711247128237,3.7225378343969133,-,Total number of donations,Average total number of donations,CA,
All,NA,2018,gs1dntot,3.5043867858208833,2.949239501701021,3.3018190997336014,3.706954471908165,1013,Total number of donations,Average total number of donations,AB,
All,NA,2018,gs1dntot,4.213728758529417,1.500249053834259,4.089826840669349,4.337630676389485,3212,Total number of donations,Average total number of donations,AT,
All,NA,2018,gs1dntot,3.468554306149929,2.4908363368553896,3.2992212361405597,3.6378873761592985,1532,Total number of donations,Average total number of donations,BC,
All,NA,2018,gs1dntot,3.72049960259799,1.5827394858000325,3.605085523490218,3.8359136817057617,3289,Total number of donations,Average total number of donations,ON,
All,NA,2018,gs1dntot,3.9275372673931086,2.301733719955034,3.7503536819340177,4.1047208528522,1599,Total number of donations,Average total number of donations,PR,
All,NA,2018,gs1dntot,3.4689991591463354,2.4150638784233536,3.304796227023898,3.633202091268773,1509,Total number of donations,Average total number of donations,QC,
Age group,15 to 24 years,2018,gs1dntot,2.298614981364074,5.383434962983379,2.0560803306376796,2.5411496320904687,362,Total number of donations,Average total number of donations,CA (without QC),NA
Age group,25 to 34 years,2018,gs1dntot,3.057447084289959,3.1730642449115685,2.8673016482533265,3.247592520326591,1139,Total number of donations,Average total number of donations,CA (without QC),NA
Age group,35 to 44 years,2018,gs1dntot,3.6578449528048087,2.3142055104468895,3.4919339045709066,3.823756001038711,1616,Total number of donations,Average total number of donations,CA (without QC),NA
Age group,45 to 54 years,2018,gs1dntot,3.8532547550630345,2.1677128116486775,3.6895438692419686,4.0169656408841,1750,Total number of donations,Average total number of donations,CA (without QC),NA
Age group,55 to 64 years,2018,gs1dntot,4.25382441258129,2.2674825011476494,4.064776627040283,4.442872198122297,2347,Total number of donations,Average total number of donations,CA (without QC),NA
Age group,65 to 74 years,2018,gs1dntot,4.444214620477707,2.4835537177058424,4.227884659102345,4.6605445818530695,2139,Total number of donations,Average total number of donations,CA (without QC),NA
Age group,75 years and over,2018,gs1dntot,4.138882691299001,2.7985057762980854,3.9118661953242406,4.365899187273761,1292,Total number of donations,Average total number of donations,CA (without QC),NA
Gender,Male gender,2018,gs1dntot,3.4887970544667417,1.530387328056935,3.3841504456826317,3.5934436632508517,4476,Total number of donations,Average total number of donations,CA (without QC),NA
Gender,Female gender,2018,gs1dntot,3.902477103262105,1.3470513083301658,3.799444993537605,4.005509212986604,6169,Total number of donations,Average total number of donations,CA (without QC),NA
Education,Less than High School,2018,gs1dntot,3.0103611136050468,5.3340590440263345,2.6956409958606518,3.325081231349442,798,Total number of donations,Average total number of donations,CA (without QC),NA
Education,Graduated from High school,2018,gs1dntot,3.27812807926027,2.259605975434048,3.132948102221199,3.423308056299341,2155,Total number of donations,Average total number of donations,CA (without QC),NA
Education,Post-secondary diploma,2018,gs1dntot,3.755490945266682,1.9049013887014319,3.6152782593839063,3.8957036311494573,3383,Total number of donations,Average total number of donations,CA (without QC),NA
Education,University Diploma,2018,gs1dntot,4.08658366759325,1.6452157237139018,3.954809179583427,4.218358155603074,3321,Total number of donations,Average total number of donations,CA (without QC),NA
Marital status,Married,2018,gs1dntot,4.0845579375170376,1.3152373641220476,3.9792654733055923,4.189850401728483,5896,Total number of donations,Average total number of donations,CA (without QC),NA
Marital status,Living common-law,2018,gs1dntot,3.120992924815994,3.850177159819168,2.885476289337321,3.3565095602946675,762,Total number of donations,Average total number of donations,CA (without QC),NA
Marital status,Widowed,2018,gs1dntot,4.245031571066,3.3432065224421943,3.9668731445536096,4.52318999757839,1008,Total number of donations,Average total number of donations,CA (without QC),NA
Marital status,Separated,2018,gs1dntot,3.43150612262742,5.780190711259589,3.042751973820825,3.820260271434015,329,Total number of donations,Average total number of donations,CA (without QC),NA
Marital status,Divorced,2018,gs1dntot,3.9024289382099973,3.737677184746363,3.616548207126194,4.188309669293801,883,Total number of donations,Average total number of donations,CA (without QC),NA
Marital status,"Single, never married",2018,gs1dntot,2.8226784451266265,2.5785056775702357,2.6800265354615123,2.9653303547917407,1767,Total number of donations,Average total number of donations,CA (without QC),NA
Labour force status,Employed,2018,gs1dntot,3.610762566305463,1.433290649205122,3.5093290946369615,3.712196037973965,5670,Total number of donations,Average total number of donations,CA (without QC),NA
Labour force status,Unemployed,2018,gs1dntot,2.867442870171878,8.92107100086553,2.366071119024464,3.3688146213192924,186,Total number of donations,Average total number of donations,CA (without QC),NA
Labour force status,Not in labour force,2018,gs1dntot,3.906035667841203,1.898929025390204,3.7606595629344204,4.0514117727479855,3836,Total number of donations,Average total number of donations,CA (without QC),NA
Labour force status,Unable to determine,2018,gs1dntot,4.052958291310946,2.965691926732801,3.8173740369015086,4.288542545720384,953,Total number of donations,Average total number of donations,CA (without QC),NA
Personal income category,"Less than $25,000",2018,gs1dntot,3.2486590663334276,2.04006374512386,3.1187630102505035,3.3785551224163517,2653,Total number of donations,Average total number of donations,CA (without QC),NA
Personal income category,"$25,000 to $49,999",2018,gs1dntot,3.672185459097467,2.0808090124525163,3.522422325746488,3.8219485924484458,3120,Total number of donations,Average total number of donations,CA (without QC),NA
Personal income category,"$50,000 to $74,999",2018,gs1dntot,3.8812004278428835,2.3007068947742053,3.706185353991992,4.056215501693775,2243,Total number of donations,Average total number of donations,CA (without QC),NA
Personal income category,"$75,000 to $99,999",2018,gs1dntot,4.222213554448166,2.455772114314914,4.018988920386279,4.425438188510052,1328,Total number of donations,Average total number of donations,CA (without QC),NA
Personal income category,"$100,000 to $124,999",2018,gs1dntot,4.465948618576172,3.853787157306195,4.128622834673929,4.803274402478414,579,Total number of donations,Average total number of donations,CA (without QC),NA
Personal income category,"$125,000 and more",2018,gs1dntot,4.639505865193603,3.197367598789818,4.3487607755368245,4.930250954850381,722,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,At least once a week,2018,gs1dntot,4.3672651029003005,2.6530430103681177,4.140173049595535,4.594357156205066,1994,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,At least once a month,2018,gs1dntot,4.1379610937215094,3.4092993795655295,3.8614582301058524,4.4144639573371665,950,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,At least 3 times a year,2018,gs1dntot,3.9065449217412125,3.2836215924654604,3.655128282629319,4.157961560853106,923,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,Once or twice a year,2018,gs1dntot,3.639737504726851,3.1066140767768267,3.418119285636507,3.8613557238171956,1366,Total number of donations,Average total number of donations,CA (without QC),NA
Frequency of religious attendance,Not at all,2018,gs1dntot,3.292466974328864,1.506715890294749,3.195236839741791,3.3896971089159367,4530,Total number of donations,Average total number of donations,CA (without QC),NA
