Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,nv_020,0.20388155330144972,7.971668392815691,0.17202672641923075,0.2357363801836687,-,Gave enough time already,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_030,0.07142125426955914,14.535198588702963,0.05107443471447248,0.0917680738246458,-,Dissatisfied with previous experience,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_040,0.39440211714474255,5.762991984858348,0.3498533854508239,0.4389508488386612,-,No one asked,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_050,0.17058889831164084,10.005340919321176,0.13713623136421788,0.2040415652590638,-,Unsure how to get more involved,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_060,0.2512989598913269,7.258177412517451,0.21554975708773025,0.2870481626949235,-,Health probelms/physically unable,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_070,0.7266734996931503,2.678140825244292,0.6885299748656826,0.7648170245206181,-,Did not have the time,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_080,0.1603994257567084,12.328284997537455,0.12164212119462839,0.19915673031878842,-,Financial cost of volunteering,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_090,0.5923513276108726,3.800425207474582,0.5482288748103805,0.6364737804113647,-,Unable to make commitment,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_100,0.3428684278190886,6.50361255506924,0.2991635160485946,0.3865733395895826,-,Preferred to give money instead,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_110,0.22542165834289146,9.24596614129717,0.1845712849890341,0.2662720316967488,-,No interest,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_120,0.25531864562464457,8.019952249645316,0.21518557350428008,0.29545171774500906,-,No opportunity to use skills or experiences,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_130,0.2586116965828249,7.428553551517153,0.22095861607229025,0.2962647770933595,-,Not asked to contribute in a way that was meaningful,Barriers to volunteering,CA (without QC),
All,NA,2018,nv_020,0.22255811307393436,7.322908160989853,0.19061515664257755,0.25450106950529117,-,Gave enough time already,Barriers to volunteering,CA,
All,NA,2018,nv_030,0.07697556798359405,13.845791655813617,0.05608651336490823,0.09786462260227986,-,Dissatisfied with previous experience,Barriers to volunteering,CA,
All,NA,2018,nv_040,0.3761453637500673,5.832930243031834,0.3331431724472616,0.419147555052873,-,No one asked,Barriers to volunteering,CA,
All,NA,2018,nv_050,0.18262393762024617,9.762458780557505,0.14768054992312313,0.21756732531736922,-,Unsure how to get more involved,Barriers to volunteering,CA,
All,NA,2018,nv_060,0.26070531667352226,7.043040814562416,0.22471727753059953,0.29669335581644496,-,Health probelms/physically unable,Barriers to volunteering,CA,
All,NA,2018,nv_070,0.7005309411309906,2.5986523725417325,0.664851043482235,0.7362108387797461,-,Did not have the time,Barriers to volunteering,CA,
All,NA,2018,nv_080,0.14233572024733893,11.206521232254769,0.11107256461293877,0.17359887588173908,-,Financial cost of volunteering,Barriers to volunteering,CA,
All,NA,2018,nv_090,0.579682458570599,3.5693096222135234,0.5391295066810924,0.6202354104601056,-,Unable to make commitment,Barriers to volunteering,CA,
All,NA,2018,nv_100,0.3324214939659575,5.9531038279306205,0.293634989193164,0.371207998738751,-,Preferred to give money instead,Barriers to volunteering,CA,
All,NA,2018,nv_110,0.23452735205771755,8.042895200460244,0.19755696469060774,0.27149773942482736,-,No interest,Barriers to volunteering,CA,
All,NA,2018,nv_120,0.25631933024840325,7.667198681167012,0.21780111391824503,0.2948375465785615,-,No opportunity to use skills or experiences,Barriers to volunteering,CA,
All,NA,2018,nv_130,0.234067595055293,7.480335370149527,0.19975050508962183,0.2683846850209642,-,Not asked to contribute in a way that was meaningful,Barriers to volunteering,CA,
All,NA,2018,nv_020,0.2008288620499077,22.161548869186873,0.1135971636253114,0.288060560474504,151,Gave enough time already,Barriers to volunteering,AB,*
All,NA,2018,nv_020,0.20781650906598811,12.825049275110748,0.15557843237906943,0.2600545857529068,372,Gave enough time already,Barriers to volunteering,AT,
All,NA,2018,nv_020,0.2055088708641339,15.927251432906337,0.14135549714335593,0.2696622445849119,224,Gave enough time already,Barriers to volunteering,BC,
All,NA,2018,nv_020,0.2146731554320951,12.133630221680159,0.16362070569400497,0.2657256051701852,351,Gave enough time already,Barriers to volunteering,ON,
All,NA,2018,nv_020,0.2660164540890592,14.004809605197291,0.19299780393775312,0.3390351042403653,227,Gave enough time already,Barriers to volunteering,PR,
All,NA,2018,nv_020,0.2802364660779338,14.171082474681269,0.20240131650856297,0.3580716156473046,169,Gave enough time already,Barriers to volunteering,QC,
All,NA,2018,nv_030,0.07848137168656619,26.705059424206272,0.03740347250264727,0.1195592708704851,151,Dissatisfied with previous experience,Barriers to volunteering,AB,*
All,NA,2018,nv_030,0.07013268754894579,26.21720621783904,0.034095160370325873,0.10617021472756571,369,Dissatisfied with previous experience,Barriers to volunteering,AT,*
All,NA,2018,nv_030,0.08039053060164973,29.360704082593177,0.03412905811394445,0.126652003089355,225,Dissatisfied with previous experience,Barriers to volunteering,BC,*
All,NA,2018,nv_030,0.07754743715939258,22.50748113005031,0.043338275192766076,0.11175659912601908,345,Dissatisfied with previous experience,Barriers to volunteering,ON,*
All,NA,2018,nv_030,0.06306023684884707,27.893038975180552,0.028585614113273865,0.09753485958442026,224,Dissatisfied with previous experience,Barriers to volunteering,PR,*
All,NA,2018,nv_030,0.08909407297905904,28.00616067742563,0.04018938633481223,0.13799875962330585,168,Dissatisfied with previous experience,Barriers to volunteering,QC,*
All,NA,2018,nv_040,0.5022020968385471,5.300728135650274,0.45002713460724386,0.5543770590698504,611,No one asked,Barriers to volunteering,AB,
All,NA,2018,nv_040,0.489969276245306,3.2822156530553794,0.45844943281150086,0.5214891196791112,1873,No one asked,Barriers to volunteering,AT,
All,NA,2018,nv_040,0.5370457056467803,4.483644696360976,0.4898512991264087,0.584240112167152,865,No one asked,Barriers to volunteering,BC,
All,NA,2018,nv_040,0.486775160383507,3.170345243188253,0.45652810803161364,0.5170222127354004,1797,No one asked,Barriers to volunteering,ON,
All,NA,2018,nv_040,0.49188509121237367,3.930115538037218,0.4539957487486353,0.529774433676112,998,No one asked,Barriers to volunteering,PR,
All,NA,2018,nv_040,0.4363296505062656,4.559563183703405,0.3973367038600085,0.4753225971525227,967,No one asked,Barriers to volunteering,QC,
All,NA,2018,nv_050,0.30058029778370715,8.992551003566467,0.24760279156935525,0.35355780399805903,606,Unsure how to get more involved,Barriers to volunteering,AB,
All,NA,2018,nv_050,0.24042415725612887,6.319517986621838,0.21064515465285422,0.2702031598594035,1833,Unsure how to get more involved,Barriers to volunteering,AT,
All,NA,2018,nv_050,0.2938119393156867,7.620320871057408,0.2499294971153467,0.3376943815160267,846,Unsure how to get more involved,Barriers to volunteering,BC,
All,NA,2018,nv_050,0.2833312830393241,5.104831101057764,0.2549831803789246,0.3116793856997236,1760,Unsure how to get more involved,Barriers to volunteering,ON,
All,NA,2018,nv_050,0.23193290360395238,7.6153803744669055,0.19731489699658264,0.26655091021132216,981,Unsure how to get more involved,Barriers to volunteering,PR,
All,NA,2018,nv_050,0.21952239855176606,7.775355933814776,0.1860684635169481,0.252976333586584,953,Unsure how to get more involved,Barriers to volunteering,QC,
All,NA,2018,nv_060,0.2504397952520052,8.597405926186854,0.2082391721474959,0.2926404183565145,612,Health probelms/physically unable,Barriers to volunteering,AB,
All,NA,2018,nv_060,0.27937416760646755,4.608773973105818,0.25413821244010015,0.30461012277283495,1870,Health probelms/physically unable,Barriers to volunteering,AT,
All,NA,2018,nv_060,0.23649412378471935,7.123633986476288,0.20347465801152345,0.26951358955791527,868,Health probelms/physically unable,Barriers to volunteering,BC,
All,NA,2018,nv_060,0.27279940189769425,4.427468776395924,0.24912674454753958,0.2964720592478489,1795,Health probelms/physically unable,Barriers to volunteering,ON,
All,NA,2018,nv_060,0.27735051211357276,6.27522026192804,0.2432386020953266,0.3114624221318189,999,Health probelms/physically unable,Barriers to volunteering,PR,
All,NA,2018,nv_060,0.2388974655207624,6.613477342968391,0.20793115222441488,0.26986377881710993,963,Health probelms/physically unable,Barriers to volunteering,QC,
All,NA,2018,nv_070,0.7010270295859434,3.2291541694633406,0.6566588475090006,0.7453952116628862,627,Did not have the time,Barriers to volunteering,AB,
All,NA,2018,nv_070,0.5979400794470158,2.5642110410313603,0.567889038401667,0.6279911204923645,1901,Did not have the time,Barriers to volunteering,AT,
All,NA,2018,nv_070,0.7281386264683205,2.9199560386496923,0.6864671897299468,0.7698100632066942,903,Did not have the time,Barriers to volunteering,BC,
All,NA,2018,nv_070,0.6918176408676315,1.8584759088968037,0.6666178661174296,0.7170174156178335,1865,Did not have the time,Barriers to volunteering,ON,
All,NA,2018,nv_070,0.6339261740937938,2.9932370437781133,0.5967360278605813,0.6711163203270063,1020,Did not have the time,Barriers to volunteering,PR,
All,NA,2018,nv_070,0.6636595839891853,2.3959437707821585,0.6324943721626853,0.6948247958156853,974,Did not have the time,Barriers to volunteering,QC,
