Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,fg1fgiv,0.677600372815287,0.870703227025608,0.6660368042100953,0.6891639414204787,-,Financial donation,Forms of giving,CA,
All,NA,2018,og_010,0.4961709982984302,1.259456357672804,0.4839230712824224,0.508418925314438,-,Food bank,Forms of giving,CA,
All,NA,2018,og_020,0.7073943069231411,0.8979038925624605,0.6949451624887438,0.7198434513575384,-,In-kind,Forms of giving,CA,
All,NA,2018,og_030,0.032357360034110536,5.877904235895629,0.028629636646466037,0.03608508342175504,-,"Bequest, planned gift",Forms of giving,CA,
All,NA,2018,fg1fgiv,0.6745911328054341,0.9814453797558513,0.6616147139844399,0.6875675516264284,-,Financial donation,Forms of giving,CA (without QC),
All,NA,2018,og_010,0.5190289686705436,1.3143976660179388,0.5056578892574617,0.5324000480836255,-,Food bank,Forms of giving,CA (without QC),
All,NA,2018,og_020,0.7131872892446872,0.9155920466757697,0.7003889476690137,0.7259856308203607,-,In-kind,Forms of giving,CA (without QC),
All,NA,2018,og_030,0.03846201501341854,5.9982862698371395,0.03394025704263009,0.04298377298420699,-,"Bequest, planned gift",Forms of giving,CA (without QC),
All,NA,2018,fg1fgiv,0.6665673860378788,2.7230555093324162,0.6309920798938113,0.7021426921819462,1412,Financial donation,Forms of giving,AB,
All,NA,2018,fg1fgiv,0.7320364871328026,1.39123090755271,0.7120755909131276,0.7519973833524776,4048,Financial donation,Forms of giving,AT,
All,NA,2018,fg1fgiv,0.6312157795774953,2.326183569664828,0.6024371624038761,0.6599943967511145,2177,Financial donation,Forms of giving,BC,
All,NA,2018,fg1fgiv,0.6796901533601089,1.4545116590718214,0.660313611263835,0.6990666954563827,4346,Financial donation,Forms of giving,ON,
All,NA,2018,fg1fgiv,0.6892635041059835,1.8815271822706778,0.6638453580120034,0.7146816501999635,2153,Financial donation,Forms of giving,PR,
All,NA,2018,fg1fgiv,0.6877324217255502,1.8987966247504935,0.6621379576168389,0.7133268858342614,2013,Financial donation,Forms of giving,QC,
All,NA,2018,og_010,0.5857744615445266,3.2215805881092274,0.5487875963666318,0.6227613267224215,1307,Food bank,Forms of giving,AB,
All,NA,2018,og_010,0.5383967750252423,2.128326823038006,0.5159378554853643,0.5608556945651203,3761,Food bank,Forms of giving,AT,
All,NA,2018,og_010,0.5046240754012722,2.9224050656756684,0.47572017382440024,0.5335279769781441,2036,Food bank,Forms of giving,BC,
All,NA,2018,og_010,0.5064435507149541,2.0577109829836173,0.4860184826885481,0.52686861874136,4060,Food bank,Forms of giving,ON,
All,NA,2018,og_010,0.4872686433715034,3.0232088065626437,0.45839612278606334,0.5161411639569434,1984,Food bank,Forms of giving,PR,
All,NA,2018,og_010,0.4191672273038046,3.4712098389867982,0.3906494102244983,0.44768504438311096,1870,Food bank,Forms of giving,QC,
All,NA,2018,og_020,0.7032910207030714,2.6646293433733996,0.6665611017787029,0.7400209396274399,1307,In-kind,Forms of giving,AB,
All,NA,2018,og_020,0.7011723957132574,1.4380547595827802,0.6814096025673994,0.72093518885911545,3773,In-kind,Forms of giving,AT,
All,NA,2018,og_020,0.7266525297728358,1.9312362651927844,0.6991476159246184,0.7541574436210532,2036,In-kind,Forms of giving,BC,
All,NA,2018,og_020,0.7210329356428055,1.3853804865891055,0.70145475820216,0.740611113083451,4080,In-kind,Forms of giving,ON,
All,NA,2018,og_020,0.66661440993516,2.0200321443539306,0.6402218772082663,0.6930069426620536,1987,In-kind,Forms of giving,PR,
All,NA,2018,og_020,0.6878972418923724,2.2505212468816516,0.6575545032299798,0.7182399805547651,1881,In-kind,Forms of giving,QC,
All,NA,2018,og_030,0.04116536762306593,14.667346148068477,0.029331365833317698,0.052999369412814155,1312,"Bequest, planned gift",Forms of giving,AB,
All,NA,2018,og_030,0.029160852260138155,10.27111503334331,0.023290476558180943,0.03503122796209537,3765,"Bequest, planned gift",Forms of giving,AT,
All,NA,2018,og_030,0.04649196504732599,11.284421934939004,0.03620930897351846,0.05677462112113351,2034,"Bequest, planned gift",Forms of giving,BC,
All,NA,2018,og_030,0.036099605694757696,10.606524011326586,0.028595073436655905,0.04360413795285949,4064,"Bequest, planned gift",Forms of giving,ON,
All,NA,2018,og_030,0.04104063558049832,12.250919483049032,0.031186220429231717,0.050895050731764924,1973,"Bequest, planned gift",Forms of giving,PR,
All,NA,2018,og_030,0.011959048531447311,24.14417267160827,0.006299822401430768,0.017618274661463856,1886,"Bequest, planned gift",Forms of giving,QC,*
Age group,15 to 24 years,2018,fg1fgiv,0.45023925105139617,5.146906275218905,0.40482023681068585,0.4956582652921065,845,Financial donation,Forms of giving,CA,NA
Age group,25 to 34 years,2018,fg1fgiv,0.6747382057743451,2.1327764130101774,0.6465330357479331,0.702943375800757,1846,Financial donation,Forms of giving,CA,NA
Age group,35 to 44 years,2018,fg1fgiv,0.6964753578057865,1.9186028828728965,0.6702851503308502,0.7226655652807228,2523,Financial donation,Forms of giving,CA,NA
Age group,45 to 54 years,2018,fg1fgiv,0.6847484620093921,2.1359683339424973,0.6560820085531501,0.7134149154656341,2609,Financial donation,Forms of giving,CA,NA
Age group,55 to 64 years,2018,fg1fgiv,0.7353403948975072,1.5754587391845283,0.7126342424882861,0.7580465473067284,3481,Financial donation,Forms of giving,CA,NA
Age group,65 to 74 years,2018,fg1fgiv,0.7690428533098695,1.4913566718431355,0.7465636894491184,0.7915220171706207,3019,Financial donation,Forms of giving,CA,NA
Age group,75 years and over,2018,fg1fgiv,0.7813933352443747,1.8475585159392187,0.7530979249364869,0.8096887455522626,1826,Financial donation,Forms of giving,CA,NA
Gender,Male gender,2018,fg1fgiv,0.6368732675394587,1.460730843076173,0.6186397142609341,0.6551068208179833,7242,Financial donation,Forms of giving,CA,NA
Gender,Female gender,2018,fg1fgiv,0.7172115974156978,1.0699346136350472,0.702171431325197,0.7322517635061987,8907,Financial donation,Forms of giving,CA,NA
Education,Less than High School,2018,fg1fgiv,0.5364715763982036,3.666130284854696,0.4979235007544905,0.5750196520419167,1568,Financial donation,Forms of giving,CA,NA
Education,Graduated from High school,2018,fg1fgiv,0.6189555489558561,2.182024193570546,0.5924847461137064,0.6454263517980059,3502,Financial donation,Forms of giving,CA,NA
Education,Post-secondary diploma,2018,fg1fgiv,0.6887911883888298,1.4842973972780118,0.6687530856238424,0.7088292911538172,5142,Financial donation,Forms of giving,CA,NA
Education,University Diploma,2018,fg1fgiv,0.7585011531278923,1.3824527062576804,0.7379491281350259,0.7790531781207588,4544,Financial donation,Forms of giving,CA,NA
