Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,agegr10_1/fg1fgiv,0.0959233198985475,4.69198715351566,0.0871020906938262,0.104744549103269,406,Percentage of donors,Percentage of total donors,CA,
Age group,25 to 34 years,2018,agegr10_2/fg1fgiv,0.167635660731845,1.94505297651501,0.161244997442761,0.17402632402093,1293,Percentage of donors,Percentage of total donors,CA,
Age group,35 to 44 years,2018,agegr10_3/fg1fgiv,0.164890672441002,1.79491663444493,0.159089864821911,0.170691480060094,1870,Percentage of donors,Percentage of total donors,CA,
Age group,45 to 54 years,2018,agegr10_4/fg1fgiv,0.159611553135954,1.91567333322947,0.153618696776169,0.165604409495739,1954,Percentage of donors,Percentage of total donors,CA,
Age group,55 to 64 years,2018,agegr10_5/fg1fgiv,0.180792928774318,1.53373734493552,0.175358166856574,0.186227690692061,2701,Percentage of donors,Percentage of total donors,CA,
Age group,65 to 74 years,2018,agegr10_6/fg1fgiv,0.13527719708943,1.59836394703944,0.131039319947036,0.139515074231824,2439,Percentage of donors,Percentage of total donors,CA,
Age group,75 years and over,2018,agegr10_7/fg1fgiv,0.0958686679289033,1.84218176043023,0.0924072243103856,0.099330111547421,1491,Percentage of donors,Percentage of total donors,CA,
Gender,Male gender,2018,gndr_1/fg1fgiv,0.463420086161394,1.01295579939135,0.45421954357553,0.472620628747259,5149,Percentage of donors,Percentage of total donors,CA,
Gender,Female gender,2018,gndr_2/fg1fgiv,0.536579913838606,0.874844644245887,0.527379371252742,0.54578045642447,7005,Percentage of donors,Percentage of total donors,CA,
Marital status,Married,2018,marstat_1/fg1fgiv,0.537949213576197,1.18054291968679,0.525502028449673,0.55039639870272,6463,Percentage of donors,Percentage of total donors,CA,
Marital status,Living common-law,2018,marstat_2/fg1fgiv,0.116826183952585,3.98632596366476,0.107698489572802,0.125953878332367,1102,Percentage of donors,Percentage of total donors,CA,
Marital status,Widowed,2018,marstat_3/fg1fgiv,0.0503203896845067,4.15141031623725,0.0462260134578877,0.0544147659111257,1143,Percentage of donors,Percentage of total donors,CA,
Marital status,Separated,2018,marstat_4/fg1fgiv,0.0253517882305697,7.05783002364692,0.021844851874846,0.0288587245862934,375,Percentage of donors,Percentage of total donors,CA,
Marital status,Divorced,2018,marstat_5/fg1fgiv,0.0519327048135201,4.48223964900493,0.0473704020079787,0.0564950076190614,1031,Percentage of donors,Percentage of total donors,CA,
Marital status,"Single, never married",2018,marstat_6/fg1fgiv,0.217619719742623,2.80273955024306,0.205665284061685,0.22957415542356,2040,Percentage of donors,Percentage of total donors,CA,
Education,Less than High School,2018,dh1ged_1/fg1fgiv,0.0905397167957006,4.46380918241598,0.0826184827764718,0.0984609508149295,964,Percentage of donors,Percentage of total donors,CA,
Education,Graduated from High school,2018,dh1ged_2/fg1fgiv,0.221038638450918,2.64486932605625,0.209580330035536,0.232496946866299,2438,Percentage of donors,Percentage of total donors,CA,
Education,Post-secondary diploma,2018,dh1ged_3/fg1fgiv,0.31461480300331,2.01745441158747,0.302174499564519,0.327055106442102,3885,Percentage of donors,Percentage of total donors,CA,
Education,University Diploma,2018,dh1ged_4/fg1fgiv,0.292839862061114,2.02193861922231,0.281234832473732,0.304444891648496,3767,Percentage of donors,Percentage of total donors,CA,
Education,Not stated,2018,dh1ged_N/fg1fgiv,0.0809669796889577,4.68919608573353,0.0735255835619404,0.0884083758159751,1100,Percentage of donors,Percentage of total donors,CA,
Labour force status,Employed,2018,dlfs_1/fg1fgiv,0.58271493394774,1.11921064698123,0.569932425972346,0.595497441923134,6433,Percentage of donors,Percentage of total donors,CA,
Labour force status,Unemployed,2018,dlfs_2/fg1fgiv,0.0310155860075513,10.9889389553792,0.0243354724849354,0.0376956995301671,220,Percentage of donors,Percentage of total donors,CA,
Labour force status,Not in labour force,2018,dlfs_3/fg1fgiv,0.304353301328159,1.67100022976583,0.294385425539174,0.314321177117144,4423,Percentage of donors,Percentage of total donors,CA,
Labour force status,Unable to determine,2018,dlfs_4/fg1fgiv,0.0819161787165494,4.5929575553894,0.0745420585941089,0.0892902988389899,1078,Percentage of donors,Percentage of total donors,CA,
Personal income category,"Less than $25,000",2018,incg2_1/fg1fgiv,0.341845862857885,1.72678283355092,0.330276321527842,0.353415404187929,3046,Percentage of donors,Percentage of total donors,CA,
Personal income category,"$25,000 to $49,999",2018,incg2_2/fg1fgiv,0.292912723725307,1.72370296081047,0.283016972794164,0.30280847465645,3625,Percentage of donors,Percentage of total donors,CA,
Personal income category,"$50,000 to $74,999",2018,incg2_3/fg1fgiv,0.178879452908615,2.4816351398803,0.170178907477762,0.187579998339469,2570,Percentage of donors,Percentage of total donors,CA,
