Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,rv_020,0.5729119260660297,1.8309083712477996,0.5523528987180525,0.5934709534140069,-,Personally affected by cause,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_030,0.3886458348895145,2.4845574672002635,0.3697201696004937,0.4075715001785353,-,Friends volunteer,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_040,0.47884038386325917,2.1066792163971693,0.459068990714659,0.4986117770118593,-,Networking or meeting people,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_050,0.2411118927793063,4.054621802940085,0.2219509411395008,0.2602728444191118,-,Improve job opportunities,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_060,0.20559403116868538,4.236579197233259,0.18852244311660454,0.22266561922076622,-,Religious reasons,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_070,0.45001147120687324,2.253707184073542,0.430133632396279,0.4698893100174675,-,Explore own strengths,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_080,0.9005013328812114,0.6763286187109907,0.8885644697046509,0.9124381960577719,-,Contribute to community,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_090,0.7451070448545553,1.2052171056651717,0.7275062594612576,0.7627078302478529,-,Use skills and experiences,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_100,0.29597113984006573,3.070836025424302,0.2781574419383072,0.31378483774182425,-,"Support political, environmental or social cause",Reasons for volunteering,CA (without QC),
All,NA,2018,rv_110,0.5074094687398698,1.8857308587498254,0.48865579456216324,0.5261631429175764,-,Improve well-being or health,Reasons for volunteering,CA (without QC),
All,NA,2018,rv_020,0.576752341444471,1.7014062314004688,0.5575194103175025,0.5959852725714394,-,Personally affected by cause,Reasons for volunteering,CA,
All,NA,2018,rv_030,0.387318856706846,2.357019272520735,0.36942599250503905,0.405211720908653,-,Friends volunteer,Reasons for volunteering,CA,
