Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,vd1dtx01,77.47835120770088,13.460448996451138,57.038016273250186,97.91868614215159,417,Arts & culture,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx01,165.81676289524273,16.525525689439664,112.10964996486544,219.52387582562002,171,Arts & culture,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx01,240.7575573807358,24.303004975613078,126.07747524004577,355.4376395214258,58,Arts & culture,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,15 to 64,2018,vd1dtx02,95.13876362985756,6.822844481663075,82.4163044392118,107.86122282050333,1409,Sports & Recreation,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx02,160.32096142688755,16.137522968497944,109.61310254459755,211.02882030917755,335,Sports & Recreation,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,75 and older,2018,vd1dtx02,146.92880366237284,14.281491012831943,105.80165657224418,188.0559507525015,187,Sports & Recreation,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,15 to 64,2018,vd1dtx03,47.751921102940976,6.980266525671936,41.21894687641819,54.284895329463765,1035,Education & research,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx03,127.16696066463314,30.711582690543977,50.62059413996934,203.71332718929693,98,Education & research,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx03,23.52022782855268,20.62292584722761,14.013306601075689,33.02714905602967,22,Education & research,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,15 to 64,2018,vd1dtx04,81.36794433680379,15.484987431286385,56.67275885581627,106.0631298177913,232,Universities & colleges,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx04,78.09673162343063,21.9479491973055,44.50171222746471,111.69175101939655,34,Universities & colleges,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx04,52.657087374957044,49.30487169908282,1.7715040601082421,103.54267068980585,15,Universities & colleges,Older Canadians Average Hours Volunteered by Cause,CA,...
Senior,15 to 64,2018,vd1dtx05,51.863391537129836,13.569649516309912,38.069791303062814,65.65699177119686,674,Health,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx05,49.809390744542306,18.8919221206942,31.366225084094395,68.25255640499022,168,Health,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx05,142.55327364065747,21.329655781852598,82.95836848745043,202.1481787938645,82,Health,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,15 to 64,2018,vd1dtx06,86.71784624568716,13.872085056569816,63.14031565106855,110.29537684030576,258,Hospitals,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx06,127.68356484988351,13.290986809354589,94.42218075350551,160.9449489462615,114,Hospitals,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,75 and older,2018,vd1dtx06,215.86026427231872,19.172707133413073,134.74469249614174,296.9758360484957,91,Hospitals,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,15 to 64,2018,vd1dtx07,77.79228004994555,8.460883722904972,64.89196495419047,90.69259514570062,1694,Social services,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx07,126.26501084499476,11.183558849856254,98.58851269901841,153.9415089909711,399,Social services,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,75 and older,2018,vd1dtx07,155.4368938605643,15.05226322969876,109.58006648289141,201.2937212382372,209,Social services,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,15 to 64,2018,vd1dtx08,103.26761716842509,24.670726862777897,53.333866061810134,153.20136827504004,447,Environment,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,65 to 74,2018,vd1dtx08,66.55325458560581,16.118744443796924,45.52764485287869,87.57886431833293,127,Environment,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,75 and older,2018,vd1dtx08,36.50621533928916,40.64493971947598,7.424408465842916,65.58802221273541,28,Environment,Older Canadians Average Hours Volunteered by Cause,CA,...
Senior,15 to 64,2018,vd1dtx09,60.190495578908155,10.798173177283271,47.451760720655784,72.92923043716053,657,Development & housing,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx09,114.44182357813432,16.636106201412122,77.12672917813956,151.75691797812908,193,Development & housing,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx09,127.9352593049858,27.497474024931257,58.985755487190616,196.884763122781,75,Development & housing,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,15 to 64,2018,vd1dtx10,83.42994184627544,29.47765869522085,35.22816830760118,131.6317153849497,230,"Law, advocacy & politics",Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,65 to 74,2018,vd1dtx10,106.77982355005321,21.35834040800626,62.08010445923208,151.47954264087434,78,"Law, advocacy & politics",Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx10,221.26016192254258,37.64618379128267,58.00298772662407,384.5173361184611,31,"Law, advocacy & politics",Older Canadians Average Hours Volunteered by Cause,CA,...
Senior,15 to 64,2018,vd1dtx11,46.210511055422366,17.631074087591053,30.241881984866232,62.1791401259785,281,"Grant-making, fundraising",Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,65 to 74,2018,vd1dtx11,87.55856439993003,28.546103245034608,38.570130531230205,136.54699826862986,45,"Grant-making, fundraising",Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx11,78.51113766338561,33.67706042777302,26.689213104984546,130.3330622217867,26,"Grant-making, fundraising",Older Canadians Average Hours Volunteered by Cause,CA,...
Senior,15 to 64,2018,vd1dtx12,57.0659412609846,23.92619917156181,30.30515990580768,83.82672261616152,86,International,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,65 to 74,2018,vd1dtx12,104.66260835633858,77.41052008497817,-54.13341782356315,263.4586345362403,28,International,Older Canadians Average Hours Volunteered by Cause,CA,...
Senior,75 and older,2018,vd1dtx12,165.43123911632279,33.04141985797608,58.29798037762073,272.56449785502485,11,International,Older Canadians Average Hours Volunteered by Cause,CA,...
Senior,15 to 64,2018,vd1dtx13,103.75946320870278,7.033670423378722,89.45545264975587,118.0634737676497,991,Religion,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,65 to 74,2018,vd1dtx13,108.86158056533468,10.245315388814138,87.00168621171791,130.72147491895143,419,Religion,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,75 and older,2018,vd1dtx13,148.04754454658905,14.354184962495243,106.39631389355635,189.69877519962176,303,Religion,Older Canadians Average Hours Volunteered by Cause,CA,
Senior,15 to 64,2018,vd1dtx14,76.57588730624424,18.98917720112857,48.075794381281256,105.07598023120723,207,Business & professional,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,65 to 74,2018,vd1dtx14,84.5920558516374,29.896232686107677,35.02488448809893,134.15922721517586,43,Business & professional,Older Canadians Average Hours Volunteered by Cause,CA,*
Senior,75 and older,2018,vd1dtx14,127.09532469699421,52.59542408747586,-3.921064840552063,258.1117142345405,9,Business & professional,Older Canadians Average Hours Volunteered by Cause,CA,...
Senior,15 to 64,2018,vd1dtx15,79.61427417026033,39.49637740392995,17.983688447921857,141.2448598925988,55,Other,Older Canadians Average Hours Volunteered by Cause,CA,...
