Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,ivs1hrs1,58.90264419728195,6.519505348736304,51.376066866029774,66.42922152853413,6163,"Cooking, cleaning, work around home",Older Canadians Average Informal Volunteer Hours,CA,
Senior,65 to 74,2018,ivs1hrs1,91.07530352339396,12.512093126089097,68.74067742316905,113.40992962361886,1333,"Cooking, cleaning, work around home",Older Canadians Average Informal Volunteer Hours,CA,
Senior,75 and older,2018,ivs1hrs1,66.93640105469247,18.96524437603412,42.05534026679679,91.81746184258814,480,"Cooking, cleaning, work around home",Older Canadians Average Informal Volunteer Hours,CA,*
Senior,15 to 64,2018,ivs1hrs2,32.77257167518342,6.46449649614618,28.62022775150661,36.92491559886023,4723,"Shopping, driving, accompaniment",Older Canadians Average Informal Volunteer Hours,CA,
Senior,65 to 74,2018,ivs1hrs2,45.50178175283174,10.532610132639777,36.10860481799027,54.89495868767321,1317,"Shopping, driving, accompaniment",Older Canadians Average Informal Volunteer Hours,CA,
Senior,75 and older,2018,ivs1hrs2,43.72071544850879,14.252149898349018,31.507901737340262,55.93352915967732,604,"Shopping, driving, accompaniment",Older Canadians Average Informal Volunteer Hours,CA,
Senior,15 to 64,2018,ivs1hrs3,20.29695560461444,9.525396583957885,16.507628824676324,24.086282384552554,2995,"Paperwork tasks, taxes, etc.",Older Canadians Average Informal Volunteer Hours,CA,
Senior,65 to 74,2018,ivs1hrs3,25.833522920822897,12.515819087035023,19.496416463328195,32.1706293783176,647,"Paperwork tasks, taxes, etc.",Older Canadians Average Informal Volunteer Hours,CA,
Senior,75 and older,2018,ivs1hrs3,28.77942316072618,22.727498121116376,15.959606730270691,41.599239591181664,234,"Paperwork tasks, taxes, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
Senior,15 to 64,2018,ivs1hrs4,78.74446413544227,7.030334646025471,67.89410480288035,89.5948234680042,4858,Health-related/personal care,Older Canadians Average Informal Volunteer Hours,CA,
Senior,65 to 74,2018,ivs1hrs4,122.99803111968146,7.953633776484404,103.8240700749996,142.1719921643633,1336,Health-related/personal care,Older Canadians Average Informal Volunteer Hours,CA,
Senior,75 and older,2018,ivs1hrs4,116.94910889793549,17.058111955502746,77.84917992503371,156.04903787083725,669,Health-related/personal care,Older Canadians Average Informal Volunteer Hours,CA,*
Senior,15 to 64,2018,ivs1hrs5,40.66984183982049,8.313615620750202,34.04294033763407,47.29674334200691,1373,"Teaching, coaching, reading assistance, etc.",Older Canadians Average Informal Volunteer Hours,CA,
Senior,65 to 74,2018,ivs1hrs5,45.69919682203739,22.77564609516253,25.299328501715834,66.09906514235895,276,"Teaching, coaching, reading assistance, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
Senior,75 and older,2018,ivs1hrs5,64.88290893014357,21.530403157510765,37.50309037893781,92.26272748134933,90,"Teaching, coaching, reading assistance, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
Senior,15 to 64,2018,ivs1hrs6,112.24146828774118,22.326548850420334,63.12546417695139,161.35747239853097,853,Other assistance,Older Canadians Average Informal Volunteer Hours,CA,*
Senior,65 to 74,2018,ivs1hrs6,164.0409628662473,19.375071172599363,101.74732306472737,226.33460266776723,282,Other assistance,Older Canadians Average Informal Volunteer Hours,CA,*
Senior,75 and older,2018,ivs1hrs6,321.31419855961815,26.430462664515403,154.8645917656757,487.7638053535606,152,Other assistance,Older Canadians Average Informal Volunteer Hours,CA,*
Senior2,15 to 74,2018,ivs1hrs1,62.41901140796735,5.801042649943178,55.32207301031194,69.51594980562277,7496,"Cooking, cleaning, work around home",Older Canadians Average Informal Volunteer Hours,CA,
Senior2,75 and older,2018,ivs1hrs1,66.93640105469247,18.96524437603412,42.05534026679679,91.81746184258814,480,"Cooking, cleaning, work around home",Older Canadians Average Informal Volunteer Hours,CA,*
Senior2,15 to 74,2018,ivs1hrs2,34.46737838860532,5.903388717676565,30.479354749761356,38.45540202744928,6040,"Shopping, driving, accompaniment",Older Canadians Average Informal Volunteer Hours,CA,
Senior2,75 and older,2018,ivs1hrs2,43.72071544850879,14.252149898349018,31.507901737340262,55.93352915967732,604,"Shopping, driving, accompaniment",Older Canadians Average Informal Volunteer Hours,CA,
Senior2,15 to 74,2018,ivs1hrs3,20.90748498793422,8.296690416151973,17.507674027031808,24.307295948836636,3642,"Paperwork tasks, taxes, etc.",Older Canadians Average Informal Volunteer Hours,CA,
Senior2,75 and older,2018,ivs1hrs3,28.77942316072618,22.727498121116376,15.959606730270691,41.599239591181664,234,"Paperwork tasks, taxes, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
Senior2,15 to 74,2018,ivs1hrs4,84.61204935549944,5.980819565101756,74.69366336703544,94.53043534396343,6194,Health-related/personal care,Older Canadians Average Informal Volunteer Hours,CA,
Senior2,75 and older,2018,ivs1hrs4,116.94910889793549,17.058111955502746,77.84917992503371,156.04903787083725,669,Health-related/personal care,Older Canadians Average Informal Volunteer Hours,CA,*
Senior2,15 to 74,2018,ivs1hrs5,41.13097339854684,7.650079670223129,34.963844344183656,47.29810245291003,1649,"Teaching, coaching, reading assistance, etc.",Older Canadians Average Informal Volunteer Hours,CA,
Senior2,75 and older,2018,ivs1hrs5,64.88290893014357,21.530403157510765,37.50309037893781,92.26272748134933,90,"Teaching, coaching, reading assistance, etc.",Older Canadians Average Informal Volunteer Hours,CA,*
Senior2,15 to 74,2018,ivs1hrs6,120.71769105619995,17.63275138665951,78.99819100232577,162.43719111007414,1135,Other assistance,Older Canadians Average Informal Volunteer Hours,CA,*
Senior2,75 and older,2018,ivs1hrs6,321.31419855961815,26.430462664515403,154.8645917656757,487.7638053535606,152,Other assistance,Older Canadians Average Informal Volunteer Hours,CA,*
