Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,ng_020,0.6355728433971627,1.4561913308389256,0.6174330696983229,0.6537126170960025,6644,Happy with what already given,Older Canadians Barriers to Giving More,CA,
Senior,65 to 74,2018,ng_020,0.8171246301392644,1.735199180788332,0.7893348106122384,0.8449144496662904,1814,Happy with what already given,Older Canadians Barriers to Giving More,CA,
Senior,75 and older,2018,ng_020,0.8106285866587625,2.2988860380926925,0.7741038201192582,0.8471533531982668,1013,Happy with what already given,Older Canadians Barriers to Giving More,CA,
Senior,15 to 64,2018,ng_030,0.6787932567285558,1.2861899969105612,0.6616816520673025,0.6959048613898092,6656,Could not afford to give more,Older Canadians Barriers to Giving More,CA,
Senior,65 to 74,2018,ng_030,0.6744781649288331,2.3454143689472358,0.6434728913890004,0.7054834384686657,1816,Could not afford to give more,Older Canadians Barriers to Giving More,CA,
Senior,75 and older,2018,ng_030,0.7047923157422926,3.031362786076117,0.6629180537278923,0.746666577756693,1010,Could not afford to give more,Older Canadians Barriers to Giving More,CA,
Senior,15 to 64,2018,ng_040,0.26330400021911093,3.2682064993917064,0.24643788598490693,0.2801701144533149,6560,No one asked,Older Canadians Barriers to Giving More,CA,
Senior,65 to 74,2018,ng_040,0.22546344921391187,6.4680221181246385,0.19688124393194478,0.25404565449587896,1759,No one asked,Older Canadians Barriers to Giving More,CA,
Senior,75 and older,2018,ng_040,0.1699824129551371,9.875278840554543,0.13708199249111627,0.20288283341915794,985,No one asked,Older Canadians Barriers to Giving More,CA,
Senior,15 to 64,2018,ng_050,0.11562737425808475,5.849367893228385,0.1023712156565404,0.1288835328596291,6539,Unsure where to give,Older Canadians Barriers to Giving More,CA,
Senior,65 to 74,2018,ng_050,0.09945859335757802,11.669989808715073,0.07670966827300355,0.1222075184421525,1750,Unsure where to give,Older Canadians Barriers to Giving More,CA,
Senior,75 and older,2018,ng_050,0.08762617185885054,13.67716643749621,0.06413643985495454,0.11111590386274653,979,Unsure where to give,Older Canadians Barriers to Giving More,CA,
Senior,15 to 64,2018,ng_060,0.11194814834721703,6.444777822117969,0.09780738169546913,0.12608891499896493,6543,Hard to find a cause,Older Canadians Barriers to Giving More,CA,
Senior,65 to 74,2018,ng_060,0.11968334070414223,10.477820504640505,0.09510498934405795,0.1442616920642265,1754,Hard to find a cause,Older Canadians Barriers to Giving More,CA,
Senior,75 and older,2018,ng_060,0.15060588796341423,10.419638709141289,0.11984897791429477,0.1813627980125337,978,Hard to find a cause,Older Canadians Barriers to Giving More,CA,
Senior,15 to 64,2018,ng_070,0.27292635908720075,3.2825216010987512,0.25536730302833105,0.29048541514607046,6517,Gave time instead,Older Canadians Barriers to Giving More,CA,
Senior,65 to 74,2018,ng_070,0.25860067622668476,5.798165749674449,0.2292127884046346,0.2879885640487349,1745,Gave time instead,Older Canadians Barriers to Giving More,CA,
Senior,75 and older,2018,ng_070,0.23448969150421461,7.493650775139103,0.20004952073541069,0.2689298622730185,975,Gave time instead,Older Canadians Barriers to Giving More,CA,
