Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,flag_gs1dnx01,0.02818458997775356,7.502387611628852,0.024040212446779046,0.032328967508728074,11304,Arts & culture,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx01,0.03927700352811049,9.69209945127323,0.03181587879343551,0.04673812826278547,3019,Arts & culture,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx01,0.04067811438888725,15.923081154869234,0.027983017702384955,0.053373211075389546,1826,Arts & culture,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx02,0.11063441955253735,3.3960647238409947,0.1032704105405116,0.1179984285645631,11304,Sports & Recreation,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx02,0.1371134824830337,6.845932033984077,0.11871589674157543,0.15551106822449198,3019,Sports & Recreation,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx02,0.11340841131741654,9.263298784579511,0.0928182840979211,0.13399853853691196,1826,Sports & Recreation,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx03,0.1136736687746519,3.590547673873526,0.10567406152282338,0.12167327602648043,11304,Education & research,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx03,0.12767920834516686,7.113549942266428,0.1098777879234685,0.1454806287668652,3019,Education & research,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx03,0.09761975395156842,10.945414086851585,0.07667776162355595,0.1185617462795809,1826,Education & research,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx04,0.014823763946304894,8.825073148206435,0.012259723359323571,0.017387804533286217,11304,Universities & colleges,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx04,0.022938682847406015,14.350040850737628,0.016487049095789755,0.029390316599022276,3019,Universities & colleges,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx04,0.02419589567525822,21.42933380615461,0.014033444682896978,0.03435834666761946,1826,Universities & colleges,Older Canadians Donation Rates by Cause,CA,*
Senior,15 to 64,2018,flag_gs1dnx05,0.30818645963899066,2.0126423421264925,0.2960294083201524,0.3203435109578289,11304,Health,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx05,0.4551762188059101,2.8348828477374286,0.429885406933392,0.48046703067842816,3019,Health,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx05,0.4103910153521896,3.945746192336948,0.3786533423406695,0.44212868836370967,1826,Health,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx06,0.16137196807299384,3.079882336595983,0.1516308162600745,0.17111311988591318,11304,Hospitals,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx06,0.20404641693746234,5.270949383750607,0.1829666449123222,0.22512618896260247,3019,Hospitals,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx06,0.21935262090497346,6.540640095165267,0.19123288929463048,0.24747235251531643,1826,Hospitals,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx07,0.30300151948413845,2.2345969034901323,0.2897308726989038,0.3162721662693731,11304,Social services,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx07,0.42950557749941237,3.075945748022418,0.4036117905572869,0.45539936444153784,3019,Social services,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx07,0.387494510233201,4.025995270762372,0.3569180712061208,0.41807094926028116,1826,Social services,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx08,0.06963699741041716,4.780336530283326,0.06311250696309009,0.07616148785774424,11304,Environment,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx08,0.08821351456530381,8.236088664208964,0.07397370341409339,0.10245332571651423,3019,Environment,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx08,0.09008439000963563,10.881823644192526,0.07087120713734855,0.1092975728819227,1826,Environment,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx09,0.0197750199724296,10.788712293593601,0.01559349558911416,0.02395654435574504,11304,Development & housing,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx09,0.030013921792710212,13.046294272120642,0.022339281881635944,0.03768856170378448,3019,Development & housing,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx09,0.029145776893820047,22.120721761068985,0.016509386919621526,0.04178216686801857,1826,Development & housing,Older Canadians Donation Rates by Cause,CA,*
Senior,15 to 64,2018,flag_gs1dnx10,0.025218709974514496,7.9421680969118365,0.0212930739277483,0.02914434602128069,11304,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx10,0.05381533061748279,9.794416698243763,0.04348456090398971,0.06414610033097587,3019,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx10,0.05089521979991472,13.674853114226535,0.037254171224379254,0.06453626837545019,1826,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx11,0.1146194166119956,3.7132669817045496,0.10627756499300912,0.12296126823098207,11304,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx11,0.10112716858988964,8.047106261252402,0.08517735267465391,0.11707698450512537,3019,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx11,0.08200348428630357,10.995917546140891,0.06433041942549936,0.09967654914710777,1826,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx12,0.07794368449554571,4.907963647398241,0.0704459447778552,0.08544142421323624,11304,International,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx12,0.10528306023341862,7.707882431055903,0.08937776727716466,0.12118835318967257,3019,International,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx12,0.10627635973627346,9.063965320571658,0.08739631598257776,0.12515640348996918,1826,International,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx13,0.21808793958649775,2.6918143692503556,0.20658192692509844,0.22959395224789705,11304,Religion,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx13,0.32502145921086195,3.9382139391872384,0.29993384100270054,0.35010907741902336,3019,Religion,Older Canadians Donation Rates by Cause,CA,
Senior,75 and older,2018,flag_gs1dnx13,0.40789566286641976,4.1667187649178645,0.37458437933347466,0.44120694639936486,1826,Religion,Older Canadians Donation Rates by Cause,CA,
Senior,15 to 64,2018,flag_gs1dnx14,0.003851798296971131,20.53341196299806,0.002301651781690914,0.005401944812251348,11304,Business & professional,Older Canadians Donation Rates by Cause,CA,*
Senior,65 to 74,2018,flag_gs1dnx14,0.005331618375525546,26.301051736452273,0.0025832163326052022,0.00808002041844589,3019,Business & professional,Older Canadians Donation Rates by Cause,CA,*
Senior,75 and older,2018,flag_gs1dnx14,0.00396882259337469,46.50710784877193,3.5115124665485806e-4,0.007586493940094522,1826,Business & professional,Older Canadians Donation Rates by Cause,CA,...
Senior,15 to 64,2018,flag_gs1dnx15,0.02233219309942599,9.581628370952942,0.01813828617511962,0.026526100023732357,11304,Other,Older Canadians Donation Rates by Cause,CA,
Senior,65 to 74,2018,flag_gs1dnx15,0.025078480785298618,18.945549829303097,0.015766189999693966,0.03439077157090327,3019,Other,Older Canadians Donation Rates by Cause,CA,*
Senior,75 and older,2018,flag_gs1dnx15,0.022512206023506245,20.26630777588704,0.01357008013885066,0.03145433190816183,1826,Other,Older Canadians Donation Rates by Cause,CA,*
Senior2,15 to 74,2018,flag_gs1dnx01,0.029626599250684428,6.5025242082355135,0.02585077412846079,0.033402424372908066,14323,Arts & culture,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx01,0.04067811438888725,15.923081154869234,0.027983017702384955,0.053373211075389546,1826,Arts & culture,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx02,0.11407668701858102,3.0934123998197656,0.10716024384437149,0.12099313019279055,14323,Sports & Recreation,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx02,0.11340841131741654,9.263298784579511,0.0928182840979211,0.13399853853691196,1826,Sports & Recreation,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx03,0.11549438325138839,3.180649000246299,0.10829451249853132,0.12269425400424545,14323,Education & research,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx03,0.09761975395156842,10.945414086851585,0.07667776162355595,0.1185617462795809,1826,Education & research,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx04,0.01587870011969461,7.564880360250509,0.013524382234670188,0.018233018004719034,14323,Universities & colleges,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx04,0.02419589567525822,21.42933380615461,0.014033444682896978,0.03435834666761946,1826,Universities & colleges,Older Canadians Donation Rates by Cause,CA,*
Senior2,15 to 74,2018,flag_gs1dnx05,0.32729506885035137,1.672293778368318,0.31656752923138165,0.3380226084693211,14323,Health,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx05,0.4103910153521896,3.945746192336948,0.3786533423406695,0.44212868836370967,1826,Health,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx06,0.1669196291568882,2.6574230058395476,0.15822569808495207,0.17561356022882435,14323,Hospitals,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx06,0.21935262090497346,6.540640095165267,0.19123288929463048,0.24747235251531643,1826,Hospitals,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx07,0.3194469958354542,1.90525717758805,0.30751809287505427,0.33137589879585416,14323,Social services,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx07,0.387494510233201,4.025995270762372,0.3569180712061208,0.41807094926028116,1826,Social services,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx08,0.07205193712344689,4.237495247192485,0.06606778015996824,0.07803609408692554,14323,Environment,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx08,0.09008439000963563,10.881823644192526,0.07087120713734855,0.1092975728819227,1826,Environment,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx09,0.021106073065829484,9.0986255469242,0.0173422316189669,0.024869914512692066,14323,Development & housing,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx09,0.029145776893820047,22.120721761068985,0.016509386919621526,0.04178216686801857,1826,Development & housing,Older Canadians Donation Rates by Cause,CA,*
Senior2,15 to 74,2018,flag_gs1dnx10,0.028936259086296358,6.479090893728056,0.025261705814522015,0.0326108123580707,14323,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx10,0.05089521979991472,13.674853114226535,0.037254171224379254,0.06453626837545019,1826,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx11,0.1128654298288456,3.391176960922314,0.10536373342853492,0.1203671262291563,14323,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx11,0.08200348428630357,10.995917546140891,0.06433041942549936,0.09967654914710777,1826,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx12,0.08149779227841732,4.309447343563378,0.07461419405744035,0.08838139049939428,14323,International,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx12,0.10627635973627346,9.063965320571658,0.08739631598257776,0.12515640348996918,1826,International,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx13,0.2319892538663378,2.2964192971323953,0.2215476515903579,0.2424308561423177,14323,Religion,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx13,0.40789566286641976,4.1667187649178645,0.37458437933347466,0.44120694639936486,1826,Religion,Older Canadians Donation Rates by Cause,CA,
Senior2,15 to 74,2018,flag_gs1dnx14,0.004044174308364619,17.37158373205856,0.0026672268431163484,0.005421121773612889,14323,Business & professional,Older Canadians Donation Rates by Cause,CA,*
Senior2,75 and older,2018,flag_gs1dnx14,0.00396882259337469,46.50710784877193,3.5115124665485806e-4,0.007586493940094522,1826,Business & professional,Older Canadians Donation Rates by Cause,CA,...
Senior2,15 to 74,2018,flag_gs1dnx15,0.022689209387286694,8.637627573792276,0.018848053534352857,0.02653036524022053,14323,Other,Older Canadians Donation Rates by Cause,CA,
Senior2,75 and older,2018,flag_gs1dnx15,0.022512206023506245,20.26630777588704,0.01357008013885066,0.03145433190816183,1826,Other,Older Canadians Donation Rates by Cause,CA,*
Senior,15 to 64,2018,flag_gs1dnx01,0.030710488473067024,7.912971115695232,0.025947556313240486,0.03547342063289356,9905,Arts & culture,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx01,0.04587343552624102,10.111667179303389,0.03678200710315492,0.05496486394932712,2647,Arts & culture,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx01,0.05175191654115155,16.510969178712372,0.03500452802457557,0.06849930505772753,1584,Arts & culture,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior,15 to 64,2018,flag_gs1dnx02,0.10782685806029887,3.381726314118396,0.1006800272912886,0.11497368882930915,9905,Sports & Recreation,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx02,0.14529566484287712,7.138511076965144,0.124967022020172,0.16562430766558223,2647,Sports & Recreation,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx02,0.10202533683085734,9.202119043565721,0.08362422878019131,0.12042644488152336,1584,Sports & Recreation,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx03,0.11792979720930306,3.5893358548009977,0.10963347252935109,0.12622612188925503,9905,Education & research,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx03,0.1463997445130816,7.4316261311919805,0.12507556828532845,0.16772392074083475,2647,Education & research,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx03,0.10171502312582147,11.151666310901803,0.07948330851088672,0.12394673774075621,1584,Education & research,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx04,0.01319813332217691,10.177937764913194,0.010565318022168452,0.015830948622185367,9905,Universities & colleges,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx04,0.02410499924364565,16.74825103270533,0.01619229970590358,0.03201769878138772,2647,Universities & colleges,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior,75 and older,2018,flag_gs1dnx04,0.02657939472125266,24.15781668730382,0.013994463127997273,0.03916432631450805,1584,Universities & colleges,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior,15 to 64,2018,flag_gs1dnx05,0.31016509298157585,2.221515731075009,0.29666022312882584,0.32366996283432586,9905,Health,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx05,0.4698888635843252,2.849612027955721,0.4436449270652209,0.49613280010342947,2647,Health,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx05,0.4030216676923846,4.380132685554846,0.3684226512280477,0.43762068415672156,1584,Health,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx06,0.14272568960928483,3.5262962348335822,0.1328613268596843,0.15259005235888537,9905,Hospitals,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx06,0.17861818292809228,6.362755942742883,0.1563431157090109,0.20089325014717366,2647,Hospitals,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx06,0.20488896532561843,7.260639183767897,0.1757320540412394,0.23404587660999746,1584,Hospitals,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx07,0.3018169394478256,2.3648960483195802,0.28782738904046584,0.3158064898551854,9905,Social services,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx07,0.438695270115533,3.2293251231460927,0.4109286630619158,0.4664618771691502,2647,Social services,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx07,0.38059033855993785,4.443960579648416,0.3474409098531765,0.4137397672666992,1584,Social services,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx08,0.07442005916416411,5.215171512624353,0.0668131768435733,0.08202694148475492,9905,Environment,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx08,0.102912770495528,8.480964120980437,0.0858062143606874,0.12001932663036859,2647,Environment,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx08,0.09859239880957847,11.463930068630136,0.07643978111767757,0.12074501650147937,1584,Environment,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx09,0.02051049948498209,11.036499732651379,0.016073844218243812,0.02494715475172037,9905,Development & housing,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx09,0.030877081198191495,14.396257665163734,0.022164758721307253,0.03958940367507574,2647,Development & housing,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx09,0.027387826705682992,22.186520916135496,0.015478289985194972,0.03929736342617101,1584,Development & housing,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior,15 to 64,2018,flag_gs1dnx10,0.02631423298027737,7.908397439602921,0.02223548104024236,0.03039298492031238,9905,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx10,0.05817829991401388,10.160121961855111,0.046592979796770156,0.0697636200312576,2647,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx10,0.06523599724213765,14.056167396681257,0.047263752780927024,0.08320824170334827,1584,"Law, advocacy & politics",Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx11,0.11730390049904706,4.11623830342622,0.10784019855582723,0.1267676024422669,9905,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx11,0.09406172228084086,8.730587277438158,0.07796622215842243,0.1101572224032593,2647,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx11,0.07632760838614913,12.124274422499814,0.058189771025590614,0.09446544574670765,1584,"Grant-making, fundraising",Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx12,0.08509739134634318,5.192155331906559,0.07643750854212496,0.09375727415056141,9905,International,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx12,0.11432352232966751,7.771159156696742,0.09691068706787201,0.13173635759146302,2647,International,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx12,0.11188585300730026,9.975760429857482,0.09000978427679823,0.1337619217378023,1584,International,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx13,0.22012129541631867,3.047153988119432,0.2069749647169913,0.23326762611564603,9905,Religion,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx13,0.3122436776789347,4.192207322800579,0.2865879405693367,0.3378994147885327,2647,Religion,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,75 and older,2018,flag_gs1dnx13,0.4098517389781804,4.322237307801764,0.3751314380367545,0.44457203991960625,1584,Religion,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,15 to 64,2018,flag_gs1dnx14,0.004634036593254138,21.64555479330789,0.0026680693763547797,0.0066000038101534965,9905,Business & professional,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior,65 to 74,2018,flag_gs1dnx14,0.006838302288517717,26.77760228846693,0.0032493467930282682,0.010427257784007165,2647,Business & professional,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior,75 and older,2018,flag_gs1dnx14,0.0032576458815679566,44.63380772780186,4.0783590596313963e-4,0.006107455857172773,1584,Business & professional,Older Canadians Donation Rates by Cause,CA (without QC),...
Senior,15 to 64,2018,flag_gs1dnx15,0.02315448944839919,10.28698188755305,0.018486054887560166,0.027822924009238213,9905,Other,Older Canadians Donation Rates by Cause,CA (without QC),
Senior,65 to 74,2018,flag_gs1dnx15,0.026623208624743003,19.236220801430886,0.016585646647545988,0.03666077060194002,2647,Other,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior,75 and older,2018,flag_gs1dnx15,0.027173215268697,20.827724994700723,0.016080676505616086,0.03826575403177791,1584,Other,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior2,15 to 74,2018,flag_gs1dnx01,0.032625977896106766,6.833738081889897,0.02825609339812795,0.03699586239408558,12552,Arts & culture,Older Canadians Donation Rates by Cause,CA (without QC),
Senior2,75 and older,2018,flag_gs1dnx01,0.05175191654115155,16.510969178712372,0.03500452802457557,0.06849930505772753,1584,Arts & culture,Older Canadians Donation Rates by Cause,CA (without QC),*
Senior2,15 to 74,2018,flag_gs1dnx02,0.11256017954683172,3.089250718626093,0.10574486311731851,0.11937549597634492,12552,Sports & Recreation,Older Canadians Donation Rates by Cause,CA (without QC),
Senior2,75 and older,2018,flag_gs1dnx02,0.10202533683085734,9.202119043565721,0.08362422878019131,0.12042644488152336,1584,Sports & Recreation,Older Canadians Donation Rates by Cause,CA (without QC),
Senior2,15 to 74,2018,flag_gs1dnx03,0.12152631988683041,3.190890516060186,0.11392602678762569,0.12912661298603514,12552,Education & research,Older Canadians Donation Rates by Cause,CA (without QC),
Senior2,75 and older,2018,flag_gs1dnx03,0.10171502312582147,11.151666310901803,0.07948330851088672,0.12394673774075621,1584,Education & research,Older Canadians Donation Rates by Cause,CA (without QC),
Senior2,15 to 74,2018,flag_gs1dnx04,0.01457596483723933,8.71318003142168,0.012086751665088649,0.01706517800939001,12552,Universities & colleges,Older Canadians Donation Rates by Cause,CA (without QC),
Senior2,75 and older,2018,flag_gs1dnx04,0.02657939472125266,24.15781668730382,0.013994463127997273,0.03916432631450805,1584,Universities & colleges,Older Canadians Donation Rates by Cause,CA (without QC),*
