Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,rv_020,0.5882203355131779,1.8844750504329648,0.5664943984296409,0.6099462725967149,5129,Personally affected by cause,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_020,0.5796857718163669,3.1537694046200477,0.5438538033209144,0.6155177403118195,1327,Personally affected by cause,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_020,0.5849269167100437,4.1580425718677185,0.5372576326466315,0.6325962007734559,674,Personally affected by cause,Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_030,0.38580453685817473,2.716035813763048,0.36526687904069755,0.4063421946756519,5040,Friends volunteer,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_030,0.37662953867097715,5.167616014262694,0.3384832136561132,0.4147758636858411,1299,Friends volunteer,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_030,0.49563633273020163,4.788711644702108,0.449117381772131,0.5421552836882723,672,Friends volunteer,Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_040,0.46758459954003656,2.3716210264491817,0.4458499029564313,0.48931929612364183,5040,Networking or meeting people,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_040,0.510934481979716,3.8529839421714596,0.4723501928385487,0.5495187711208834,1295,Networking or meeting people,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_040,0.5791394586258426,4.67049260598286,0.5261250482328146,0.6321538690188706,674,Networking or meeting people,Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_050,0.2783064432331277,3.8157500805458233,0.25749264816813294,0.29912023829812245,5004,Improve job opportunities,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_050,0.02723896907438267,24.35501709967502,0.014236459074297008,0.04024147907446833,1271,Improve job opportunities,Older Canadians Reasons for Volunteering,CA,*
Senior,75 and older,2018,rv_050,0.01851475591554319,31.008919766751795,0.0072621601069842705,0.02976735172410211,661,Improve job opportunities,Older Canadians Reasons for Volunteering,CA,*
Senior,15 to 64,2018,rv_060,0.17322643577182123,5.010813947487615,0.15621384175536837,0.1902390297882741,5020,Religious reasons,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_060,0.24152154787638092,6.385517630155492,0.2112941973215165,0.27174889843124533,1299,Religious reasons,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_060,0.36709371364095084,7.041839644507135,0.31642834935307906,0.4177590779288226,667,Religious reasons,Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_070,0.44722131501981854,2.3923179120138274,0.42625174732152304,0.46819088271811404,5017,Explore own strengths,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_070,0.3322638903659935,5.712085027225386,0.29506534988281835,0.3694624308491687,1283,Explore own strengths,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_070,0.37685149243753785,6.78272037056412,0.326753278449994,0.4269497064250817,657,Explore own strengths,Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_080,0.8960576751559383,0.7087845234851461,0.8836097123732867,0.9085056379385898,5154,Contribute to community,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_080,0.9077482599978536,1.2229284152044217,0.8859904814458135,0.9295060385498937,1355,Contribute to community,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_080,0.8831821326743577,2.005528883522968,0.8484663239780104,0.9178979413707051,690,Contribute to community,Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_090,0.7444957860170798,1.2032853432658668,0.7269376276565125,0.7620539443776471,5106,Use skills and experiences,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_090,0.7718127901989464,2.233962936799598,0.7380190682958616,0.8056065121020313,1329,Use skills and experiences,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_090,0.706264498909572,3.561647459008229,0.65696228777051,0.755566710048634,678,Use skills and experiences,Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_100,0.3072330232971117,3.2459538014415146,0.28768700414836745,0.326779042445856,5006,"Support political, environmental or social cause",Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_100,0.3316785691780616,5.917345404230491,0.29321120556053587,0.37014593279558733,1280,"Support political, environmental or social cause",Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_100,0.3410634796703765,7.145502131030527,0.293297788904575,0.388829170436178,664,"Support political, environmental or social cause",Older Canadians Reasons for Volunteering,CA,
Senior,15 to 64,2018,rv_110,0.4892308614615026,2.160070386879127,0.4685184893778628,0.5099432335451424,5044,Improve well-being or health,Older Canadians Reasons for Volunteering,CA,
Senior,65 to 74,2018,rv_110,0.5834664333142379,3.572001485794792,0.5426179817804003,0.6243148848480754,1317,Improve well-being or health,Older Canadians Reasons for Volunteering,CA,
Senior,75 and older,2018,rv_110,0.6376320664557031,3.900434993608343,0.5888869306444793,0.686377202266927,669,Improve well-being or health,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_020,0.5871937405589445,1.696301834952002,0.5676713660299332,0.6067161150879558,6456,Personally affected by cause,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_020,0.5849269167100437,4.1580425718677185,0.5372576326466315,0.6325962007734559,674,Personally affected by cause,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_030,0.38472334667493074,2.480805895767164,0.3660169810603643,0.4034297122894972,6339,Friends volunteer,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_030,0.49563633273020163,4.788711644702108,0.449117381772131,0.5421552836882723,672,Friends volunteer,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_040,0.47277032853381357,2.1164405358366842,0.45315911926699187,0.49238153780063526,6335,Networking or meeting people,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_040,0.5791394586258426,4.67049260598286,0.5261250482328146,0.6321538690188706,674,Networking or meeting people,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_050,0.2489912970873479,3.837521636069448,0.23026365521907788,0.26771893895561794,6275,Improve job opportunities,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_050,0.01851475591554319,31.008919766751795,0.0072621601069842705,0.02976735172410211,661,Improve job opportunities,Older Canadians Reasons for Volunteering,CA,*
Senior2,15 to 74,2018,rv_060,0.18136345415141364,4.293143163740816,0.16610279681721193,0.19662411148561534,6319,Religious reasons,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_060,0.36709371364095084,7.041839644507135,0.31642834935307906,0.4177590779288226,667,Religious reasons,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_070,0.4336908624412175,2.2388578799578744,0.414660156926415,0.45272156795602003,6300,Explore own strengths,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_070,0.37685149243753785,6.78272037056412,0.326753278449994,0.4269497064250817,657,Explore own strengths,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_080,0.89748115216487,0.6331639014559678,0.886343604535039,0.908618699794701,6509,Contribute to community,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_080,0.8831821326743577,2.005528883522968,0.8484663239780104,0.9178979413707051,690,Contribute to community,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_090,0.7477833704778505,1.090703426062745,0.731797710494496,0.7637690304612049,6435,Use skills and experiences,Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_090,0.706264498909572,3.561647459008229,0.65696228777051,0.755566710048634,678,Use skills and experiences,Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_100,0.3101111220378861,2.9275655209118625,0.29231718469249235,0.32790505938327985,6286,"Support political, environmental or social cause",Older Canadians Reasons for Volunteering,CA,
Senior2,75 and older,2018,rv_100,0.3410634796703765,7.145502131030527,0.293297788904575,0.388829170436178,664,"Support political, environmental or social cause",Older Canadians Reasons for Volunteering,CA,
Senior2,15 to 74,2018,rv_110,0.500643024129642,1.882985546164365,0.48216637351547864,0.5191196747438054,6361,Improve well-being or health,Older Canadians Reasons for Volunteering,CA,
