Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,flag_vd1dex01,0.024943684511861037,7.650200795201075,0.02120359901435006,0.028683770009372014,11304,Arts & culture,Older Canadians Volunteer Rate by Cause,CA,
Senior,65 to 74,2018,flag_vd1dex01,0.04388024808552909,11.813398710387046,0.03372028740417834,0.05404020876687984,3019,Arts & culture,Older Canadians Volunteer Rate by Cause,CA,
Senior,75 and older,2018,flag_vd1dex01,0.01879462749827778,16.53241628206424,0.012704615534643006,0.024884639461912557,1826,Arts & culture,Older Canadians Volunteer Rate by Cause,CA,*
Senior,15 to 64,2018,flag_vd1dex02,0.09312759275628328,4.029195844875329,0.08577323342521863,0.10048195208734793,11304,Sports & Recreation,Older Canadians Volunteer Rate by Cause,CA,
Senior,65 to 74,2018,flag_vd1dex02,0.07858120120960059,7.425003442685235,0.06714548383302443,0.09001691858617675,3019,Sports & Recreation,Older Canadians Volunteer Rate by Cause,CA,
Senior,75 and older,2018,flag_vd1dex02,0.07017005043612777,9.411992170018133,0.05722566497723654,0.083114435895019,1826,Sports & Recreation,Older Canadians Volunteer Rate by Cause,CA,
Senior,15 to 64,2018,flag_vd1dex03,0.07986964916947166,4.616431692525034,0.07264301148101777,0.08709628685792555,11304,Education & research,Older Canadians Volunteer Rate by Cause,CA,
Senior,65 to 74,2018,flag_vd1dex03,0.023032890387280756,14.180536874927425,0.016631280491655645,0.029434500282905868,3019,Education & research,Older Canadians Volunteer Rate by Cause,CA,
Senior,75 and older,2018,flag_vd1dex03,0.006966102203172013,29.646165034171812,0.002918419556678371,0.011013784849665656,1826,Education & research,Older Canadians Volunteer Rate by Cause,CA,*
Senior,15 to 64,2018,flag_vd1dex04,0.023896460760832974,9.99661648106336,0.019214425227691324,0.028578496293974624,11304,Universities & colleges,Older Canadians Volunteer Rate by Cause,CA,
Senior,65 to 74,2018,flag_vd1dex04,0.005312911820431339,21.69445168251688,0.003053843439982063,0.007571980200880615,3019,Universities & colleges,Older Canadians Volunteer Rate by Cause,CA,*
Senior,75 and older,2018,flag_vd1dex04,0.003519424469260202,31.43173649556452,0.0013512805084833156,0.005687568430037088,1826,Universities & colleges,Older Canadians Volunteer Rate by Cause,CA,*
Senior,15 to 64,2018,flag_vd1dex05,0.04344128639413364,5.5949209169588165,0.03867758291655113,0.04820498987171615,11304,Health,Older Canadians Volunteer Rate by Cause,CA,
Senior,65 to 74,2018,flag_vd1dex05,0.041291825229673396,10.671996261659206,0.03265492632966584,0.049928724129680954,3019,Health,Older Canadians Volunteer Rate by Cause,CA,
Senior,75 and older,2018,flag_vd1dex05,0.034444176052302905,16.65369587710849,0.023201375124036798,0.04568697698056901,1826,Health,Older Canadians Volunteer Rate by Cause,CA,*
