Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,fv1fvol,0.4249493458708889,1.7129106132640748,0.4106827632325293,0.4392159285092485,11304,Volunteer flag,Older Canadians Volunteer Rate,CA,
Senior,65 to 74,2018,fv1fvol,0.39215125445276744,3.025373124128412,0.3688981659716095,0.41540434293392536,3019,Volunteer flag,Older Canadians Volunteer Rate,CA,
Senior,75 and older,2018,fv1fvol,0.3049184847921243,4.50989781218789,0.27796601639294755,0.33187095319130105,1826,Volunteer flag,Older Canadians Volunteer Rate,CA,
Senior,15 to 64,2018,iv1fiv,0.7277488834147332,0.9471648163993035,0.7142388881727593,0.7412588786567071,11304,Direct help flag,Older Canadians Volunteer Rate,CA,
Senior,65 to 74,2018,iv1fiv,0.6912442301242933,1.8248310032778947,0.666521167946142,0.7159672923024445,3019,Direct help flag,Older Canadians Volunteer Rate,CA,
Senior,75 and older,2018,iv1fiv,0.5169423381389755,3.0876912265998904,0.4856582098889936,0.5482264663889573,1826,Direct help flag,Older Canadians Volunteer Rate,CA,
Senior,15 to 64,2018,iva250fiv,0.28921966443223185,2.2294971908660974,0.27658153384897444,0.30185779501548926,11304,Community involvement flag,Older Canadians Volunteer Rate,CA,
Senior,65 to 74,2018,iva250fiv,0.2670469765043548,4.179274849685774,0.2451725492927242,0.28892140371598546,3019,Community involvement flag,Older Canadians Volunteer Rate,CA,
Senior,75 and older,2018,iva250fiv,0.2123035412243295,6.25287244495455,0.1862848828594655,0.2383221995891935,1826,Community involvement flag,Older Canadians Volunteer Rate,CA,
Senior2,15 to 74,2018,fv1fvol,0.42068560725848897,1.5320084609895612,0.40805375874509875,0.4333174557718792,14323,Volunteer flag,Older Canadians Volunteer Rate,CA,
Senior2,75 and older,2018,fv1fvol,0.3049184847921243,4.50989781218789,0.27796601639294755,0.33187095319130105,1826,Volunteer flag,Older Canadians Volunteer Rate,CA,
Senior2,15 to 74,2018,iv1fiv,0.7230032932588156,0.8722944218563828,0.7106423543001517,0.7353642322174796,14323,Direct help flag,Older Canadians Volunteer Rate,CA,
Senior2,75 and older,2018,iv1fiv,0.5169423381389755,3.0876912265998904,0.4856582098889936,0.5482264663889573,1826,Direct help flag,Older Canadians Volunteer Rate,CA,
Senior2,15 to 74,2018,iva250fiv,0.28633722397392675,2.0152925756792186,0.2750271874826613,0.2976472604651922,14323,Community involvement flag,Older Canadians Volunteer Rate,CA,
Senior2,75 and older,2018,iva250fiv,0.2123035412243295,6.25287244495455,0.1862848828594655,0.2383221995891935,1826,Community involvement flag,Older Canadians Volunteer Rate,CA,
Senior,15 to 64,2018,fv1fvol,0.44881211458597137,1.800935022762134,0.4329700891586183,0.46465414001332445,9905,Volunteer flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,65 to 74,2018,fv1fvol,0.42479080064884517,3.1130903714848923,0.39887199875431645,0.4507096025433739,2647,Volunteer flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,75 and older,2018,fv1fvol,0.333115086812349,4.849034726362269,0.3014560507382221,0.3647741228864759,1584,Volunteer flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,15 to 64,2018,iv1fiv,0.7309608269178137,0.9727272753205514,0.7170249825396671,0.7448966712959604,9905,Direct help flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,65 to 74,2018,iv1fiv,0.7204141236191361,1.8519298704021168,0.6942651380037516,0.7465631092345207,2647,Direct help flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,75 and older,2018,iv1fiv,0.5245720838162762,3.515573182787978,0.48842698561718956,0.5607171820153628,1584,Direct help flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,15 to 64,2018,iva250fiv,0.30248691600196886,2.295969291532432,0.2888749529930545,0.31609887901088324,9905,Community involvement flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,65 to 74,2018,iva250fiv,0.2909371905143966,4.45533314765519,0.26553170402257553,0.31634267700621765,2647,Community involvement flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,75 and older,2018,iva250fiv,0.2339466148119309,6.438663554588792,0.2044236078809035,0.2634696217429583,1584,Community involvement flag,Older Canadians Volunteer Rate,CA (without QC),
Senior2,15 to 74,2018,fv1fvol,0.445777574360201,1.599819532231832,0.4317998232677265,0.4597553254526755,12552,Volunteer flag,Older Canadians Volunteer Rate,CA (without QC),
Senior2,75 and older,2018,fv1fvol,0.333115086812349,4.849034726362269,0.3014560507382221,0.3647741228864759,1584,Volunteer flag,Older Canadians Volunteer Rate,CA (without QC),
Senior2,15 to 74,2018,iv1fiv,0.7296284936619031,0.8946802163814481,0.7168341588648124,0.7424228284589938,12552,Direct help flag,Older Canadians Volunteer Rate,CA (without QC),
Senior2,75 and older,2018,iv1fiv,0.5245720838162762,3.515573182787978,0.48842698561718956,0.5607171820153628,1584,Direct help flag,Older Canadians Volunteer Rate,CA (without QC),
Senior2,15 to 74,2018,iva250fiv,0.3010278739745269,2.0709648949606003,0.28880910257708936,0.31324664537196445,12552,Community involvement flag,Older Canadians Volunteer Rate,CA (without QC),
Senior2,75 and older,2018,iva250fiv,0.2339466148119309,6.438663554588792,0.2044236078809035,0.2634696217429583,1584,Community involvement flag,Older Canadians Volunteer Rate,CA (without QC),
Senior,15 to 64,2018,fv1fvol,0.46582795394857945,4.315669765454572,0.4264256295003568,0.5052302783968021,1098,Volunteer flag,Older Canadians Volunteer Rate,AB,
Senior,65 to 74,2018,fv1fvol,0.4458401503436629,9.229621820290017,0.36518888714930686,0.526491413538019,197,Volunteer flag,Older Canadians Volunteer Rate,AB,
Senior,75 and older,2018,fv1fvol,0.35404906182498685,16.262866427431568,0.24119722455822667,0.46690089909174703,117,Volunteer flag,Older Canadians Volunteer Rate,AB,
