Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,flag_gs1dax01,0.034166344340992805,6.250652701222304,0.029980606986412292,0.03835208169557332,-,Arts & culture,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1dax02,0.1117117235038106,2.921483391161815,0.10531510772692333,0.11810833928069787,-,Sports & Recreation,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da202,0.13195100347825942,2.9049724747767764,0.12443818648135052,0.1394638204751683,-,Education and research,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da203,0.4067237701341701,1.5144490344107377,0.39465112852521794,0.41879641174312227,-,Health,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da204,0.32406000681102304,1.8928281597865957,0.3120377855617093,0.3360822280603368,-,Social services,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da205,0.07967636281487747,4.22074059875082,0.07308513605028792,0.08626758957946702,-,Environment,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da206,0.02226849429198023,8.801761312635906,0.01842692624061561,0.026110062343344852,-,Development and housing,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da207,0.033150019598494944,5.932365036245151,0.02929559328833209,0.0370044459086578,-,"Law, advocacy, and politics",Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da208,0.11130410312655811,3.62504370456308,0.10339599657125505,0.11921220968186118,-,Philanthropic intermediaries,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da209,0.09064958123634594,4.203919208020429,0.08318048157646064,0.09811868089623123,-,International,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da210,0.24610209935540472,2.3436865688708095,0.23479729786493073,0.2574069008458787,-,Religion,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1da211,0.0047792164746534235,17.253611949517918,0.003163054741612534,0.006395378207694313,-,Business and professional,Donation Rate by Subsector,CA (without QC),*
All,NA,2018,flag_gs1da212,0.023881051556526076,8.515180389954406,0.019895436141140217,0.027866666971911935,-,Not elsewhere classified,Donation Rate by Subsector,CA (without QC),
All,NA,2018,flag_gs1dax01,0.030545360034350853,5.962032645297122,0.02697602192271325,0.034114698145988456,-,Arts & culture,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1dax02,0.11402113033705555,2.904013188313493,0.10753131981263186,0.12051094086147923,-,Sports & Recreation,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da202,0.1270894970150049,2.9112956895526576,0.1198377262154386,0.13434126781457123,-,Education and research,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da203,0.4175235005596261,1.4115854347965862,0.4059720590193006,0.4290749420999516,-,Health,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da204,0.32510408329113794,1.7882591839777184,0.313709433565545,0.3364987330167309,-,Social services,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da205,0.07355105379097712,3.9303745878358507,0.06788512732813796,0.07921698025381628,-,Environment,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da206,0.021774448804095153,8.497532522155785,0.018147945340621453,0.025400952267568853,-,Development and housing,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da207,0.03076180352083305,5.962192656917982,0.027167076714312358,0.034356530327353745,-,"Law, advocacy, and politics",Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da208,0.11029974133115537,3.29825145884296,0.10316946521205238,0.11743001745025837,-,Philanthropic intermediaries,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da209,0.08355774295224079,3.9991278312400764,0.07700836463183994,0.09010712127264164,-,International,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da210,0.2466131229163098,2.117133470545053,0.2363798981803565,0.2568463476522631,-,Religion,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da211,0.004037909990771148,16.073792421195563,0.0027658046370953844,0.005310015344446912,-,Business and professional,Donation Rate by Subsector,CA,NA
All,NA,2018,flag_gs1da212,0.022674494323588652,8.160949578275616,0.01904767103274334,0.026301317614433963,-,Not elsewhere classified,Donation Rate by Subsector,CA,NA
