Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,top_cause/gs1datot,0.768111530623486,114.63264135963401,0.750853919633589,0.785369141613382,-,Top cause,Focus on primary cause,CA (without QC),
All,NA,2018,top_cause/gs1datot,0.764177779195655,106.77184571052601,0.74818590935602,0.780169649035289,-,Top cause,Focus on primary cause,CA,
All,NA,2018,top_cause/gs1datot,0.794800166373584,191.28695786643598,0.765001872370572,0.824598460376597,1013,Top cause,Focus on primary cause,AB,
All,NA,2018,top_cause/gs1datot,0.771412367893645,144.56994363103902,0.749554253210649,0.793270482576642,3212,Top cause,Focus on primary cause,AT,
All,NA,2018,top_cause/gs1datot,0.768478835411352,175.07432573652198,0.742109300831965,0.794848369990738,1532,Top cause,Focus on primary cause,BC,
All,NA,2018,top_cause/gs1datot,0.75523197334369,216.78267541642603,0.723143206275821,0.787320740411558,3289,Top cause,Focus on primary cause,ON,
All,NA,2018,top_cause/gs1datot,0.771336645436187,212.942221020155,0.739144209857665,0.803529081014708,1599,Top cause,Focus on primary cause,PR,
All,NA,2018,top_cause/gs1datot,0.729787310323196,204.705331290474,0.700507143149292,0.7590674774971,1509,Top cause,Focus on primary cause,QC,
Age group,15 to 24 years,2018,top_cause/gs1datot,0.7841207613793022,5.207099177602729,0.7040955382828767,0.8641459844757277,406,Top cause,Focus on primary cause,CA,
Age group,25 to 34 years,2018,top_cause/gs1datot,0.7784514323038998,5.629371001057707,0.6925620489631042,0.8643408156446953,1293,Top cause,Focus on primary cause,CA,
Age group,35 to 44 years,2018,top_cause/gs1datot,0.7936908386858301,1.971114203682254,0.7630280785364609,0.8243535988351993,1870,Top cause,Focus on primary cause,CA,
Age group,45 to 54 years,2018,top_cause/gs1datot,0.7452142473471675,2.0259183471194686,0.715623824049916,0.7748046706444189,1954,Top cause,Focus on primary cause,CA,
Age group,55 to 64 years,2018,top_cause/gs1datot,0.7702578050630049,1.343722044374403,0.7499719349341923,0.7905436751918175,2701,Top cause,Focus on primary cause,CA,
Age group,65 to 74 years,2018,top_cause/gs1datot,0.7441059207040237,1.566348579591586,0.7212619671363201,0.7669498742717273,2439,Top cause,Focus on primary cause,CA,
Age group,75 years and over,2018,top_cause/gs1datot,0.7448486949760675,2.0065609844586043,0.7155553803764764,0.7741420095756587,1491,Top cause,Focus on primary cause,CA,
Gender,Male gender,2018,top_cause/gs1datot,0.775189363242674,1.0467478470484872,0.7592856706603557,0.7910930558249922,5149,Top cause,Focus on primary cause,CA,
Gender,Female gender,2018,top_cause/gs1datot,0.7544050818005309,1.7940463050732638,0.7278781913164838,0.780931972284578,7005,Top cause,Focus on primary cause,CA,
Education,Less than High School,2018,top_cause/gs1datot,0.7867393929370983,2.673821472806888,0.7455095771847293,0.8279692086894672,964,Top cause,Focus on primary cause,CA,
Education,Graduated from High school,2018,top_cause/gs1datot,0.7794701563715271,1.5471852999481075,0.7558332892658369,0.8031070234772172,2438,Top cause,Focus on primary cause,CA,
Education,Post-secondary diploma,2018,top_cause/gs1datot,0.7764616402370875,1.331381424545798,0.7562001871010782,0.7967230933730969,3885,Top cause,Focus on primary cause,CA,
Education,University Diploma,2018,top_cause/gs1datot,0.7605188409996718,1.2907350161658389,0.7412792798863886,0.779758402112955,3767,Top cause,Focus on primary cause,CA,
Marital status,Married,2018,top_cause/gs1datot,0.7671959053203394,1.475791581050601,0.7450047764365034,0.7893870342041754,6463,Top cause,Focus on primary cause,CA,
Marital status,Living common-law,2018,top_cause/gs1datot,0.7207180863432625,1.8960074570390464,0.6939354359136496,0.7475007367728754,1102,Top cause,Focus on primary cause,CA,
Marital status,Widowed,2018,top_cause/gs1datot,0.7457247103925324,2.209143760400337,0.7134360071335101,0.7780134136515547,1143,Top cause,Focus on primary cause,CA,
Marital status,Separated,2018,top_cause/gs1datot,0.7703342599512775,3.7701063352775286,0.713412161282435,0.8272563586201199,375,Top cause,Focus on primary cause,CA,
Marital status,Divorced,2018,top_cause/gs1datot,0.7338289108886306,2.8114200724862566,0.6933928678591403,0.7742649539181208,1031,Top cause,Focus on primary cause,CA,
Marital status,"Single, never married",2018,top_cause/gs1datot,0.7859601599430773,2.2545240457893447,0.7512302629641785,0.8206900569219762,2040,Top cause,Focus on primary cause,CA,
Labour force status,Employed,2018,top_cause/gs1datot,0.7826051478631668,0.9632305455713259,0.7678303673607684,0.7973799283655653,6433,Top cause,Focus on primary cause,CA,
Labour force status,Unemployed,2018,top_cause/gs1datot,0.8050890137983298,4.94218205870056,0.7271040758150374,0.8830739517816221,220,Top cause,Focus on primary cause,CA,
Labour force status,Not in labour force,2018,top_cause/gs1datot,0.7478627778187392,1.2951373671493631,0.7288788600896503,0.7668466955478281,4423,Top cause,Focus on primary cause,CA,
Labour force status,Unable to determine,2018,top_cause/gs1datot,0.6881927614540067,8.307972063762952,0.5761320903947543,0.800253432513259,1078,Top cause,Focus on primary cause,CA,
Personal income category,"Less than $25,000",2018,top_cause/gs1datot,0.7987478607132424,1.2586441053358879,0.7790435727746976,0.8184521486517873,3046,Top cause,Focus on primary cause,CA,
Personal income category,"$25,000 to $49,999",2018,top_cause/gs1datot,0.7790315034439347,1.2854523911108495,0.7594042690920864,0.798658737795783,3625,Top cause,Focus on primary cause,CA,
Personal income category,"$50,000 to $74,999",2018,top_cause/gs1datot,0.7729840384242651,1.4717622845102283,0.7506865325697842,0.795281544278746,2570,Top cause,Focus on primary cause,CA,
Personal income category,"$75,000 to $99,999",2018,top_cause/gs1datot,0.736956144750949,5.42102619479226,0.6586544357135493,0.8152578537883486,1478,Top cause,Focus on primary cause,CA,
Personal income category,"$100,000 to $124,999",2018,top_cause/gs1datot,0.720509675351285,2.946352138544315,0.6789020855474233,0.7621172651551467,643,Top cause,Focus on primary cause,CA,
Personal income category,"$125,000 and more",2018,top_cause/gs1datot,0.7129410975591902,2.4996921089384845,0.6780119279828216,0.7478702671355588,792,Top cause,Focus on primary cause,CA,
Frequency of religious attendance,At least once a week,2018,top_cause/gs1datot,0.8259505299377428,1.111373228692047,0.8079592501167486,0.8439418097587369,2135,Top cause,Focus on primary cause,CA,
Frequency of religious attendance,At least once a month,2018,top_cause/gs1datot,0.7336923589920613,2.295134756898791,0.7006880779183378,0.7666966400657849,1040,Top cause,Focus on primary cause,CA,
Frequency of religious attendance,At least 3 times a year,2018,top_cause/gs1datot,0.7186079512899692,2.6931026439034245,0.6806770628101926,0.7565388397697459,1069,Top cause,Focus on primary cause,CA,
Frequency of religious attendance,Once or twice a year,2018,top_cause/gs1datot,0.7360445478297444,2.732899405622,0.696619172430987,0.7754699232285017,1639,Top cause,Focus on primary cause,CA,
Frequency of religious attendance,Not at all,2018,top_cause/gs1datot,0.7235013673077259,1.2870685052388033,0.7052502645443486,0.7417524700711031,5277,Top cause,Focus on primary cause,CA,
Immigration status,Native-born,2018,top_cause/gs1datot,0.7619707252218145,0.9199177132414912,0.7482323504770942,0.7757090999665348,9211,Top cause,Focus on primary cause,CA,
Immigration status,Naturalized,2018,top_cause/gs1datot,0.7989486458337616,1.3370412376968,0.7780117757496096,0.8198855159179136,1755,Top cause,Focus on primary cause,CA,
Immigration status,Non-Canadian,2018,top_cause/gs1datot,0.727579108230152,7.012799996047129,0.6275745572315319,0.8275836592287722,201,Top cause,Focus on primary cause,CA,
Immigration status,Unknown,2018,top_cause/gs1datot,0.6901387750354011,8.545863754917718,0.5745433930753108,0.8057341569954914,987,Top cause,Focus on primary cause,CA,
Age group,15 to 24 years,2018,top_cause/gs1datot,0.729771753542432,13.098326990106537,0.5424229306858483,0.9171205763990156,42,Top cause,Focus on primary cause,AB,
Age group,25 to 34 years,2018,top_cause/gs1datot,0.8316986280247844,4.656575605751951,0.7557918190209305,0.9076054370286384,132,Top cause,Focus on primary cause,AB,
Age group,35 to 44 years,2018,top_cause/gs1datot,0.8418971082472401,4.33089163964075,0.7704335845384928,0.9133606319559874,183,Top cause,Focus on primary cause,AB,
Age group,45 to 54 years,2018,top_cause/gs1datot,0.7296452361173219,4.938518359578138,0.6590205525532377,0.80026991968140615,173,Top cause,Focus on primary cause,AB,
Age group,55 to 64 years,2018,top_cause/gs1datot,0.8027915552887501,2.8974652351574948,0.7572016048286494,0.8483815057488509,252,Top cause,Focus on primary cause,AB,
Age group,65 to 74 years,2018,top_cause/gs1datot,0.769441344013985,4.472326649630139,0.7019952000235266,0.8368874880044435,139,Top cause,Focus on primary cause,AB,
Age group,75 years and over,2018,top_cause/gs1datot,0.7414221640926882,6.476802903634916,0.6473038071571527,0.8355405210282237,92,Top cause,Focus on primary cause,AB,
Age group,15 to 24 years,2018,top_cause/gs1datot,0.7995806323824731,4.607196059105351,0.7273789942552862,0.8717822705096601,107,Top cause,Focus on primary cause,AT,
Age group,25 to 34 years,2018,top_cause/gs1datot,0.8024024791660915,4.594486627840284,0.7301459086927078,0.8746590496394753,261,Top cause,Focus on primary cause,AT,
Age group,35 to 44 years,2018,top_cause/gs1datot,0.8089796026224777,3.252139532393282,0.7574146250453204,0.860544580199635,461,Top cause,Focus on primary cause,AT,
